ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Chx10,ChAT,Notes
0,823.866,655.819,3021.93,g,d,g,r,yes,,d,,,no,,no,no,
1,660.7,572.728,3000.16,r,d,g,r,yes,,no,,,no,,no,no,
2,661.207,684.619,2993.94,g,d,g,r,yes,,d,,,no,,no,no,
3,606.906,680.288,2990.83,r,v,g,r,yes,,no,,,no,,no,no,
4,770.14,579.523,2975.27,g,d,g,r,yes,,no,,,no,,no,no,
5,565.561,550.517,2969.05,g,v,g,r,yes,,no,,,no,,no,no,
6,567.043,438.64,2972.16,r,d,g,r,yes,,no,,,no,,no,no,
7,746.137,599.936,2969.05,r,d,g,r,no,,no,,pa,no,,no,no,
8,722.587,601.891,2969.05,r,d,g,r,no,,no,,pa,no,,no,no,
9,701.42,606.308,2972.16,r,d,g,r,no,,no,,opa,no,,no,no,
10,679.741,635.672,2969.05,r,d,g,r,yes,,no,,,no,,no,no,
11,569.024,658.466,2969.05,r,d,g,r,yes,,no,,,no,,no,no,
12,665.365,639.342,2959.72,g,d,g,r,yes,,no,,,no,,no,no,
13,655.288,537.705,2959.72,g,d,g,r,no,,no,,wf,no,,no,no,
14,661.288,612.039,2981.49,r,d,g,r,yes,,no,,,no,,no,no,
15,643.242,506.802,2950.39,r,d,g,r,yes,,no,,,no,,no,no,
16,686.574,445.607,2944.17,g,d,g,r,yes,,no,,,no,,no,no,
17,566.081,431.176,2947.28,r,d,g,r,yes,,no,,,no,,no,no,
18,770.607,477.013,2941.06,g,d,g,r,yes,,no,,,no,,no,no,
20,521.73,613.818,2941.06,r,v,g,r,yes,,no,,,no,,no,no,
21,713.161,644.077,2934.84,g,d,g,r,yes,,no,,,no,,no,no,
22,700.808,653.496,2934.84,g,d,g,r,yes,,no,,,no,,no,no,
23,730.491,629.119,2931.73,g,d,g,r,yes,,d,,,no,,no,no,
24,791.455,678.59,2928.61,g,d,g,r,yes,,d,,,no,,no,no,
25,681.947,635.566,2953.5,g,d,g,r,yes,,no,,,no,,no,no,
26,702.342,647.21,2947.28,g,d,g,r,yes,,no,,,no,,no,no,
27,705.568,680.182,2934.84,r,d,g,r,yes,,no,,,no,,no,no,
28,583.773,606.905,2928.61,r,v,g,r,yes,,no,,,no,,no,no,
