Animal,Segment,Ref,Location,Position X,Position Y,Position Z,Rotation
S122_a1,s1,CC,caudal,826,1104,313,90
S122_a1,s1,L,caudal,903,1837,308,
S122_a1,s1,T,caudal,1538,1416,313,
S122_a1,s1,B,caudal,461,1501,308,
S122_a1,s1,CC,rostral,1360,1070,1820,
S122_a1,s1,L,rostral,1427,2153,1820,
S122_a1,s1,T,rostral,2018,1602,1820,
S122_a1,s1,B,rostral,557,1640,1811,
S122_a1,s2,CC,caudal,889,1118,244,270
S122_a1,s2,L,caudal,899,409,244,
S122_a1,s2,T,caudal,444,855,235,
S122_a1,s2,B,caudal,1246,830,244,
S122_a1,s2,CC,rostral,859,906,2273,
S122_a1,s2,L,rostral,731,1696,2268,
S122_a1,s2,T,rostral,244,1212,2273,
S122_a1,s2,B,rostral,1319,1311,2273,
S122_a1,s3,CC,caudal,1981,1281,208,270
S122_a1,s3,L,caudal,1808,774,208,
S122_a1,s3,T,caudal,1412,1102,208,
S122_a1,s3,B,caudal,2191,1105,208,
S122_a1,s3,CC,rostral,977,1187,2734,
S122_a1,s3,L,rostral,822,604,2734,
S122_a1,s3,T,rostral,176,1022,2734,
S122_a1,s3,B,rostral,1386,1000,2725,
S122_a1,s4,CC,,,,,
S122_a1,s4,CC,,,,,
S122_a1,s5,CC,,,,,
S122_a1,s5,CC,,,,,
S122_a1,s6,CC,caudal,1976,1511,158,270
S122_a1,s6,L,caudal,1735,1143,162,
S122_a1,s6,T,caudal,1482,1356,162,
S122_a1,s6,B,caudal,2235,1372,158,
S122_a1,s6,CC,rostral,757,1173,3264,
S122_a1,s6,L,rostral,636,1836,2986,
S122_a1,s6,T,rostral,178,1432,2986,
S122_a1,s6,B,rostral,1175,1431,2995,
