Animal,Segment,Ref,Location,Position X,Position Y,Position Z,Rotation
S140_a16,s1,CC,,,,,
S140_a16,s1,CC,,,,,
S140_a16,s2,CC,,,,,
S140_a16,s2,CC,,,,,
S140_a16,s3,CC,caudal,726,1007,2868,270
S140_a16,s3,L,caudal,702,531,2868,
S140_a16,s3,T,caudal,577,805,2861,
S140_a16,s3,B,caudal,1000,786,2861,
S140_a16,s3,CC,rostral,1023,879,151,
S140_a16,s3,L,rostral,898,175,151,
S140_a16,s3,T,rostral,685,522,151,
S140_a16,s3,B,rostral,1355,594,148,
S140_a16,s4,CC,caudal,562,669,2777,270
S140_a16,s4,L,caudal,332,1226,2774,
S140_a16,s4,T,caudal,66,943,2774,
S140_a16,s4,B,caudal,868,797,2774,
S140_a16,s4,CC,rostral,888,782,103,
S140_a16,s4,L,rostral,759,312,103,
S140_a16,s4,T,rostral,401,696,97,
S140_a16,s4,B,rostral,1183,582,97,
S140_a16,s5,CC,caudal,807,575,2896,280
S140_a16,s5,L,caudal,468,1135,2896,
S140_a16,s5,T,caudal,215,715,896,
S140_a16,s5,B,caudal,972,848,2896,
S140_a16,s5,CC,rostral,809,728,81,
S140_a16,s5,L,rostral,729,154,142,
S140_a16,s5,T,rostral,347,425,139,
S140_a16,s5,B,rostral,1165,499,142,
S140_a16,s6,CC,,,,,
S140_a16,s6,CC,,,,,
