X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
360.3599681,63.56622256
372.8334106,42.71663714
411.9353675,57.66572177
437.2237947,69.26888611
425.6840592,95.68377708
399.4779898,94.0262731
393.4364262,106.010683
395.3038403,117.141294
417.012495,120.1548732
370.5746332,20.87248591
402.10147,34.2861281
432.7938961,55.36049683
447.7616086,47.49028346
489.0058174,47.10840371
378.0336937,-20.49570018
382.320992,-39.22555526
345.9634653,-49.02955183
360.5159518,-30.48949991
385.4443302,9.058169858
197.8612147,-252.1527313
188.4882924,-275.0772099
347.686416,-97.04719364
391.2995236,-75.04777209
416.822512,-82.26611949
472.6026769,-98.39207211
497.6830836,-66.4799901
453.5896791,1.98096118
508.9803436,-7.546914772
525.5497109,-17.25465678
458.2747481,149.6287593
454.7335058,117.5356955
506.9500795,116.3377451
490.9826576,144.8766703
456.9270959,171.5205464
431.0660584,147.5446731
181.0849973,-218.7793091
176.2661977,-230.5258404
160.836339,-233.7199804
377.6919709,-37.50018077
355.6856049,-51.22218637
344.5161075,-66.79838514
405.3213078,-78.52796277
390.5412941,-112.3653923
369.3628052,-100.5673738
365.9675515,-114.643572
346.6229418,-111.431128
341.4790845,-106.4160683
335.7338807,-127.9025479
326.2378072,-165.7627015
303.0435301,-160.2639631
415.2196048,-190.1848875
422.8290656,-156.3049874
436.5632373,-238.2026623
356.9374302,-176.9126584
371.0832852,93.58186706
363.4399948,79.72025033
405.404536,104.0065168
386.2388033,50.50150498
396.869846,42.37349261
359.0899904,25.2633551
338.92762,-46.26182005
317.7090485,-104.2815782
353.0764192,-84.33287603
378.6607326,-67.01790445
355.1942748,-64.72648685
444.6354181,3.257059219
473.0354795,-10.36001348
438.4248472,36.08318333
425.0255805,-101.7994428
408.3655378,-77.50993086
423.9594014,-35.81965168
471.3325116,-82.44160223
195.2226956,-248.1689586
191.4931221,-263.2158471
209.1523751,-250.5631281
449.1319169,156.1601925
434.4747163,144.3436974
424.0412935,158.9427718
400.4999437,150.9298783
441.5861504,134.1611626
352.0522135,-16.02643978
362.7565011,-36.8373769
350.8556596,-50.4913071
340.2333909,-66.69942544
350.6201271,-81.65932452
326.3505257,-79.90060556
331.0206761,-114.5409344
373.1975858,-116.6498399
384.5300154,-55.09265282
376.4842782,-70.54548625
399.3168212,-70.74408974
413.5766389,-62.60121414
437.7884966,-87.55033334
400.8499005,-164.6253636
383.1120115,-43.18934282
313.1684622,-189.1222619
301.0199921,-204.3994233
330.353182,-200.7971977
335.6856912,-213.7066774
405.0601705,-278.8277968
421.975141,-261.0334749
163.3844131,-254.9112571
362.0591809,70.81472858
374.3599412,62.31512495
400.2278364,69.66145024
411.3657486,54.80708042
382.7732388,41.72671655
377.6894234,48.28009628
357.3257932,15.30885748
379.6732498,19.45064721
422.4568778,30.21761435
456.3330097,113.8434758
473.6179808,113.5847538
375.4466314,5.460779446
387.0196807,-2.72250961
436.3240343,-8.148280723
450.8557171,-21.39342637
474.0880379,-34.4317668
476.2831443,-60.95086952
428.1928502,-69.76280722
420.778709,-38.075967
397.8452019,-94.95916334
419.7396134,-113.8426492
356.4737323,-76.13943607
337.9081991,-73.96892714
317.1155678,-106.1316328
335.7280853,-94.76463773
344.2274039,-115.7879456
173.9577378,-284.3780111
188.4105421,-286.1748689
202.1419726,-255.8489803
375.0593876,-84.7707446
359.2906857,314.0690545
301.7973577,-79.8587084
348.910951,-123.1939319
337.1746157,-116.197348
346.4869143,-92.37644243
339.4723614,-69.17307532
327.4716392,-91.59760663
314.2708204,-100.345368
372.992011,-142.5846632
384.1889586,-171.2607053
343.0183908,-146.656936
313.9892456,-135.9851608
320.4749431,-164.9666813
304.4729706,-165.7932926
320.6990545,-186.9149917
352.6737621,-217.3928553
364.6827384,-247.7039243
404.7222982,-231.5315235
343.4195304,109.7858569
274.0526554,122.4012279
405.8961155,-97.01259617
408.3145081,-111.4733893
423.4300562,-117.5297651
431.3119044,-206.4810381
392.3722665,-200.55599
364.74888,-186.4503099
338.0814253,-189.2016297
176.8880573,-223.6338265
151.5469958,-210.6631796
256.0360944,-278.4624041
253.0859809,-288.6896271
187.9286336,-212.1609169
366.1718131,-105.6413489
391.7755344,-125.8115348
407.858274,-90.89190041
429.8594616,-110.9360227
249.2181314,-229.8140561
250.2474268,-251.875197
274.0498812,-252.8837063
287.3020586,-244.9416956
278.1670625,-262.5906083
261.8269992,-269.2719824
254.8792557,-285.4081311
277.6524149,-287.299086
218.8539192,-296.7538607
201.6132225,-304.8219351
185.6591449,-286.0384494
201.9992082,-267.6331547
182.442597,-257.4219981
150.0197941,-281.5001576
174.2082344,-264.7336905
172.5356295,-284.7778128
285.2434679,-300.9139616
383.4408194,-51.93370166
397.2496206,-41.71270718
400.7018209,-18.09392265
419.1957511,-34.39226519
436.3334598,-48.75690608
450.0189681,-74.86187845
145.3622914,-256.0773481
160.650607,-270.9944751
214.4062974,-251.7955801
209.5978756,-308.5635359
237.9552352,-284.8066298
260.0246586,-259.1160221
265.9427162,-233.2872928
257.0656297,-232.5966851
251.1475721,-212.1546961
272.9704097,-209.8066298
291.4643399,-241.2983425
312.7940061,-263.2596685
311.930956,-283.7016575
318.2188923,-302.4861878
282.8338392,-270.0276243
331.2879363,-229.6961326
245.0840752,-222.5599065
245.3412463,-243.4833431
269.5153314,-244.8860316
282.1167161,-238.5739334
273.7586548,-255.0555231
256.5281899,-260.0818235
273.6300692,-277.9661017
251.7705242,-275.9789597
213.7091988,-286.2653419
196.6073195,-294.6814728
180.2769535,-277.849211
197.3788328,-260.9000584
179.3768546,-252.4839275
145.1730959,-273.2904734
139.7652582,-253.1196337
154.5352113,-265.7126503
206.7793427,-251.4024041
202.8732394,-300.057241
234.7323944,-278.6491128
226.7981221,-280.7097882
252.1877934,-260.2175157
254.9953052,-235.4894104
244.4976526,-217.5157413
266.8356808,-216.3709216
283.4366197,-243.3886663
305.7746479,-262.5071551
304.0657277,-279.1070406
310.1690141,-294.1041786
277.8215962,-267.8878077
365.8197507,-132.5274725
362.3298178,-110
377.7852349,-113.7362637
390.9971237,-103.8461538
245.4170662,-251.8681319
218.9932886,-237.2527473
237.3154362,-204.7252747
224.4774688,-217.8021978
215.7526366,-194.6153846
253.5186961,-206.7032967
165.0239693,-222.5274725
152.0613615,-212.8571429
162.780441,-195.2747253
165.6471716,-207.032967
119.15628,-192.5274725
122.147651,-164.5054945
358.2879158,-69.32801065
375.1456493,-77.97737858
378.566059,-43.11377246
142.8021049,-233.1337325
178.4720917,-232.3353293
171.7534298,-247.9041916
191.4207856,-270.3925482
207.6677316,-269.9933466
211.0881413,-242.0492349
234.2980643,-214.7704591
216.5852283,-173.6526946
208.6449915,-184.9634065
234.2980643,-167.5316035
277.5418154,-175.5156354
289.0246194,-159.1483699
278.6412329,-207.5848303
289.3910919,-229.5409182
258.9738771,-261.6101131
341.1915135,-244.8124696
327.1547642,-252.6059425
347.8405001,-265.2703361
289.9696912,-285.338529
265.3438151,-224.7442767
209.0736882,-262.2503653
155.0198901,-233.1222601
193.9287744,-276.5708719
210.6743701,-296.444228
174.720591,-318.8504627
147.6321273,-306.7705796
192.6000935,-192.5121463
204.7515189,-214.4612746
167.0821,-275.278651
176.296931,-284.9957131
178.0183829,-302.4864247
125.2609441,-282.0234353
