X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
248.3967764,-140.2611933
283.9629731,-142.0105203
287.1520134,-163.5677175
246.1947745,-152.8860093
260.117852,-179.7354591
164.7358193,-167.0470663
235.8199786,-197.099432
321.6414128,-221.4829911
297.3378563,-244.4747498
340.1677557,-262.1065474
198.1742057,-86.06004792
210.6895493,82.31246559
186.2633889,167.321792
237.5261866,139.4314054
247.1859142,124.763579
194.7228279,-208.0684883
92.09453982,-211.7673158
108.4161036,-168.4225048
201.659325,-112.6585548
141.7460346,114.2190139
164.2171541,109.1643382
11.59537807,-160.0956643
48.2262315,-170.6859988
69.17697142,-158.5934362
25.03547537,-194.6543848
76.16055139,-192.1880401
220.7074802,-238.6674265
211.0885871,-256.200895
147.577539,-184.235947
137.6951145,-199.0863314
156.4058382,-237.7182575
33.4684776,-230.4686989
88.28299209,-39.46151475
277.7146153,-126.1635651
127.7722854,-138.0827339
87.50205965,-327.7543099
151.0133465,-322.4873463
155.7258197,-306.7016783
160.438293,-315.1957986
73.36463997,-293.3668227
87.82336464,-302.1806142
159.6885813,-261.7345968
132.4847586,-194.4818663
149.1926182,-267.930129
75.50667326,-207.405716
108.1726808,-317.4030521
106.6732575,-337.1769989
131.735047,-277.8247136
252.4386225,2.173515611
274.8228703,5.383005952
109.9934091,-39.1064429
86.00263635,-324.2074818
144.480145,-281.0670929
176.6106443,-364.7600563
245.3699127,-144.9176086
126.2728621,-324.7098223
120.4893722,-325.7906154
159.1300896,-86.12526599
60.89712796,-97.57959838
108.3362461,-111.1160538
67.12872914,-136.1068416
150.504351,-195.455315
118.9760421,-167.717134
102.7364821,-175.5011934
337.3815035,-125.1743678
291.7095741,-123.2555746
301.7798612,-127.3029668
343.0655939,-58.05511385
207.8365485,-167.1381763
152.223877,-192.0745209
217.1625631,-196.606591
116.0539479,-179.5114049
220.8350404,-291.6711759
167.4698517,133.5720982
61.94692914,-95.65171064
101.7395508,-185.9131094
122.5437767,-221.156974
82.93627543,-185.4380098
158.7436487,-162.7209793
200.6834306,-85.95917779
284.8518765,-163.5420617
332.7555994,-134.5083377
290.4196364,-100.4227634
270.8133867,-42.24124153
247.2948484,135.2378111
227.0589537,-90.7578089
339.6298137,-100.3137036
191.2128713,-27.05382436
91.33663366,-109.3484419
83.04455446,-116.713881
43.81188119,-230.5949008
208.1683168,-240.0849858
194.4306931,-270.8215297
267.5742574,-263.5977337
277.970297,-117.4220963
242.9455446,-92.49291785
352.1039604,-105.8073654
457.9207921,-144.0509915
127.5990099,-101.1331445
332.7970297,-329.0368272
408.0445545,-289.9433428
469.3069307,-28.18696884
369.8019802,48.63547758
159.7772277,-89.94334278
377.7227723,151.2670565
175.3712871,226.4132554
414.8514851,335.1851852
53.55392157,-16.48648649
47.91666667,-62.97297297
82.10784314,-73.37837838
84.43627451,-135.2702703
260.0490196,-65.54054054
238.1127451,-57.2972973
277.5735294,-143.3783784
312.0098039,-127.7027027
346.9362745,-44.72972973
307.9656863,-19.59459459
184.3137255,19.56181534
287.8676471,43.13380282
188.2352941,46.06807512
336.7647059,24.25665102
100,120.2073552
243.872549,134.6830986
356.9852941,160.700313
446.8137255,-4.189189189
174.754902,-190
140.3186275,-186.8918919
85.41666667,-147.8378378
83.45588235,-114.4594595
108.5784314,-46.21621622
182.3552049,30.11544253
241.389263,17.31637945
234.5102944,9.703864815
277.7852607,-38.28337875
261.6509525,-69.07356948
319.6844333,-73.84196185
307.8025784,-75.88555858
399.2303252,-60.626703
210.9967289,-35.42234332
185.9822975,-76.43051771
98.9320762,-70.70844687
100.5580142,-99.04632153
59.53434674,-39.23705722
47.65249182,-59.67302452
105.0606119,-117.8474114
93.55397345,-149.4550409
162.2185876,-193.3242507
205.1183375,-156.5395095
193.9869155,-175.8855586
317.5582067,-138.2833787
80.67154127,-138.6920981
56.93763139,-45.59848005
127.7680448,-81.8239392
156.6923616,-67.38442052
183.3391731,-74.73084231
102.6016118,-130.0823306
92.01121233,-111.3362888
86.54519972,-147.9417353
165.4607568,-193.2868904
225.3591451,-184.8005066
293.2288017,-139.9620013
286.7379117,-130.8423053
161.2473721,-101.9632679
115.9250175,2.761446642
130.3871759,-25.07916403
181.7449194,-47.87840405
171.1807609,-102.0979021
128.7699586,-157.6689977
143.5048295,-161.3986014
244.2144688,-130.2564103
548.6153533,-354.8105934
236.4757208,-215.5030801
322.9040212,-145.5852156
105.9085736,-175.6673511
90.62025797,-167.9671458
141.7867982,-117.1457906
172.3634294,-125.1540041
300.9578907,-77.82340862
92.96282246,-69.50718686
507.0300462,-306.7182214
197.2543353,-51.56161272
106.1910557,-108.6882453
110.5415272,-2.385008518
315.0136903,-147.7569563
363.8576209,-72.79954571
25.09061254,-357.5539568
