X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
478.5781717,69.73359667
487.040146,50.42003804
465.4391358,56.9413221
436.2414139,66.18579971
380.1460041,69.33949814
384.104458,55.57062373
401.7531249,45.87379745
416.6911248,21.92571288
449.9304048,5.419992537
367.6180293,30.17902813
312.257115,54.38104686
331.6949688,-23.02551862
307.8147007,-32.82663471
301.1260258,-45.41099688
237.2799169,41.18375185
202.33211,48.44954538
159.2290815,15.439925
151.7985785,8.171401007
106.4334018,-109.043226
185.1478495,-198.5877947
193.8249173,-205.8566349
62.62643089,-212.2397761
204.5197088,81.00772724
565.4783941,90.55710788
148.4267433,28.97306842
128.5354821,21.62445049
233.5524442,-90.335988
277.1841208,-144.0780216
288.2960583,-70.29342727
313.0054983,-81.32350959
351.0094093,-53.02562592
311.4820875,7.914760716
338.9341385,2.643471151
350.1840319,-8.36250474
373.6023459,-0.199316183
389.7868168,3.346002843
405.920586,2.658203139
232.278876,-11.71076589
191.3637411,0.555211809
152.7608419,15.97776206
146.9266031,3.358893333
341.9856765,-39.59497447
387.9662702,-25.49116083
386.1704849,-47.91987239
423.1992715,-53.50448618
443.1722245,-58.89479804
390.2101175,-84.18664268
455.3760183,18.61755022
282.8862993,1.467674335
305.640774,-34.45286768
370.1051041,26.65200834
209.1411903,-2.388033508
155.1049136,66.86389116
153.4482634,56.25685958
520.7920792,94.34697856
506.6831683,87.13450292
494.6782178,34.3079922
486.7574257,25.53606238
475.8663366,31.09161793
443.5643564,5.263157895
445.7920792,-34.13597734
352.3514851,9.746588694
341.5841584,12.47563353
331.1881188,19.3957115
317.2029703,21.83235867
313.9851485,30.40935673
337.1287129,38.791423
360.3960396,31.67641326
398.7623762,65.78947368
231.5594059,116.4717349
193.9356436,61.208577
186.1386139,66.08187135
147.1534653,68.42105263
130.5693069,58.9668616
226.3613861,-0.141643059
240.470297,-38.8101983
237.2524752,-83.00283286
239.3564356,-103.9660057
199.7524752,-74.36260623
213.2425743,-68.69688385
201.8564356,-259.9150142
405.6930693,59.84405458
394.5544554,102.9239766
380.0742574,88.791423
337.9950495,84.69785575
293.6881188,88.20662768
258.539604,70.66276803
384.2821782,-17.28045326
359.1584158,-19.68838527
117.6470588,116.3928013
171.5686275,98.00469484
204.5343137,104.3622848
193.0147059,83.72456964
161.0294118,68.56416275
151.4705882,66.99921753
198.4068627,61.52190923
170.3431373,47.8286385
177.2058824,58.78325509
258.9460784,33.74413146
292.6470588,44.79655712
385.4166667,51.1541471
371.8137255,31.49452269
403.0637255,27.48435055
343.75,14.2801252
342.8921569,6.357589984
357.2303922,1.075899844
246.9362745,6.357589984
187.377451,-60.27027027
330.5147059,-22.16216216
307.5980392,-18.10810811
341.7892157,-18.37837838
327.0833333,-33.64864865
317.7696078,-27.2972973
429.0441176,12.71517997
478.9215686,20.83333333
469.4852941,7.433489828
481.9852941,-7.297297297
468.995098,-14.59459459
230.1470588,-95.94594595
300.6127451,-120.8108108
336.2745098,-177.972973
312.0098039,-189.0540541
433.5784314,-111.4864865
432.9656863,-98.91891892
392.1568627,-177.1621622
352.8186275,-217.027027
345.5882353,-237.027027
333.5784314,-248.5135135
284.0686275,-264.5945946
211.0294118,-256.6216216
232.5980392,-267.5675676
152.5735294,-253.7837838
173.6519608,-260.8108108
192.2794118,-284.4594595
62.5,-64.05405405
236.7647059,-140.4054054
277.4509804,-196.6216216
420.7107843,-125
408.9460784,-106.7567568
410.1715686,-98.64864865
562.1323529,236.4045383
531.7401961,205.5946792
586.3970588,216.3536776
527.2058824,232.2965571
492.1568627,220.1682316
443.627451,-57.56756757
447.5490196,-3.783783784
210.1212238,151.9156768
190.4848951,118.1194579
180.4791226,95.11460599
184.1062151,87.00016731
160.3425053,88.0876694
362.7092553,73.02994813
488.9070618,83.319391
474.3986916,70.93859796
508.7935347,78.04918856
509.794112,65.16647147
490.9082163,59.81261502
485.1548971,48.68663209
495.1606696,35.05102894
437.8776217,44.25296972
383.971522,44.75489376
205.8687704,39.48469132
190.6099673,42.8308516
168.5972677,39.48469132
252.1454685,10.20578886
283.5385799,21.58273381
336.5691745,8.114438682
351.4527612,-10.76294278
285.6648066,-20.16348774
281.0371368,-32.42506812
133.9522802,-44.95912807
60.03463537,-163.2152589
101.3084472,-139.1008174
249.2688089,-195.7765668
297.7968058,-196.7302452
353.8291322,-248.0926431
222.3782952,-250.4087193
307.6775063,-4.08719346
313.1806812,-12.39782016
503.2903598,17.48368747
489.2822782,12.04617701
481.7779488,18.06926552
456.5133731,16.73080141
454.5122186,25.84908817
426.7461997,28.19140037
410.4868193,22.92119793
388.5991918,15.22502928
378.0931307,21.66638782
369.9634404,13.63560315
422.3686742,2.593274218
333.6925149,-60.08174387
434.7508178,-183.106267
432.3744468,-155.0408719
179.1257884,126.3139141
188.6913104,110.4578657
168.4215137,102.9752361
156.3507358,90.94958133
116.152768,102.2626047
121.0494043,81.86353109
111.2561317,82.75432033
131.1843027,86.94102975
134.0311843,65.11669339
140.7498248,65.38393016
164.0942537,69.65971851
182.3142957,61.99893105
196.4348283,57.63406378
205.4309741,49.17156601
201.4453399,49.17156601
233.1026629,50.06235525
219.0960056,32.781044
215.2242467,26.63459825
260.432726,17.72670586
358.4793273,53.6255122
470.8742116,55.49616961
455.8426769,41.3326207
445.1384022,49.17156601
464.1555711,22.26973098
293.6843027,-43.06523116
306.3244569,-28.62571248
323.4057463,-31.03229892
353.6965662,11.04578657
389.567274,-44.58518049
425.6657323,20.66631035
393.0974071,-105.129829
412.0007008,-64.85117163
245.6289418,-94.11019633
252.1198318,-105.6364788
233.6720392,-110.0696643
257.2442186,-138.0620646
253.1447092,-128.5623813
131.6398038,11.93657581
158.5143658,-13.55288157
194.1573231,-90.81697277
177.3037842,-100.569981
355.5185704,-176.9474351
305.6412053,-203.0398987
267.8346181,-196.580114
258.0413455,-184.040532
369.9807288,-213.9328689
369.8668535,-250.0316656
260.6604765,-274.350855
112.3948844,-23.05256491
378.8783757,-87.55244755
396.3039622,-96.68997669
373.6250739,-95.57109557
386.9505224,-123.3566434
370.9343584,-122.4242424
364.5278928,-129.044289
352.9962547,-102.5641026
339.9270649,-84.00932401
324.2952888,-81.02564103
207.6976148,-78.32167832
204.494382,-0.466200466
205.7756751,24.15530528
212.1821407,52.16360403
177.3309679,61.64789567
28.95722452,-91.0955711
298.5412971,-66.94638695
305.2040213,-57.62237762
282.909521,-25.73426573
276.2467968,-10.90909091
273.9404692,-66.29370629
334.9300217,-108.7179487
312.6355214,-140.4195804
341.208358,-162.0512821
272.659176,-159.3473193
331.5986596,-184.8018648
334.2893751,-128.018648
343.258427,-135.5710956
356.9682634,-93.33333333
395.5351863,-113.8461538
411.9357382,-69.18414918
296.3630988,-237.5757576
270.2247191,-199.2540793
320.4514094,-222.1911422
303.5383402,-215.7575758
287.7784349,-217.6223776
330.1892371,-167.3659674
183.3530455,-170.1631702
162.1360212,78.26725404
202.6369375,53.89133627
203.2987172,13.65638767
226.32865,19.67694567
207.0046834,1.174743025
183.7100387,-40.09386524
169.6803095,-40.76433121
194.5632254,-35.9369762
223.1521075,-51.2236004
236.1229892,-50.15085484
272.6532274,-88.09922896
205.681124,-93.46295675
318.4483812,-82.73550117
322.6837711,-98.55849816
351.2726532,-102.4472008
365.4347383,-111.6996312
373.6408064,-105.3972511
382.3762981,-112.7723768
385.2881287,-123.6339256
400.9061291,-113.1746564
412.6858074,-124.3043916
355.5080432,-134.227288
354.0521279,-160.2413678
367.1553655,-167.7505867
260.0794136,-183.0372109
178.6805131,10.86637298
192.9749542,-65.30338585
154.4593769,-65.70566544
305.3451436,-110.6268857
320.4337202,-109.4200469
329.4339238,-122.8293664
299.9185502,-217.0968823
345.1842802,-208.9171975
323.3455508,-226.8856856
328.6397882,-238.8199799
8.603135818,-187.9986591
33.88311953,-196.8488099
291.341047,-173.7166324
307.245827,-186.4476386
315.2598634,-206.1601643
370.3717754,-108.8295688
359.2754173,-59.95893224
324.1369499,-114.5790554
313.4104704,-118.275154
295.4097117,-112.2176591
347.5625948,-118.4804928
346.3296662,-142.0944559
299.2317906,-82.54620123
298.6153263,-73.71663244
286.6559181,-33.26488706
235.8592564,33.2322118
224.5163126,7.722007722
237.215478,-7.186858316
129.7040971,-36.65297741
112.4430956,-56.16016427
139.5675266,-89.01437372
155.8421851,-100.6160164
144.745827,-117.9671458
17.63088012,-117.5564682
117.1282246,-18.1724846
224.7628983,-62.42299795
261.2575873,-60.57494867
204.9402928,-13.53310778
181.4040832,-19.04301595
244.0003852,-32.18946351
257.2708012,-32.76945384
229.4780431,-42.4359594
225.9726502,-32.57612373
225.5970724,-18.46302562
183.0315871,-50.2658289
188.5400616,-69.50217496
205.9418336,-63.21894635
162.3748074,-100.1449976
267.6617874,-90.67182214
270.9167951,-121.0246496
286.6910632,-116.2880619
303.7172573,-108.7481875
312.6059322,-116.578057
339.1467643,-116.2880619
374.951849,-119.8646689
363.6845146,-151.280812
301.4637904,-91.44514258
274.9229584,-66.98888352
227.2245763,-247.2692122
112.1725732,8.600337268
16.31426833,122.9157278
384.027989,62.52816584
360.1003955,40.44614691
361.8801339,16.78684092
350.6084576,0
357.8262854,-44.1794435
429.7079404,-67.120954
377.7989048,-28.62010221
234.3322178,109.3961244
209.218132,77.39972961
173.6233648,49.3465525
64.46607849,-80.52243044
151.871007,-67.91595684
229.8828719,-73.02668938
262.6102829,-108.3475298
224.7414055,-128.2226008
160.5719501,-111.1868257
310.7620931,-112.6632595
314.4204442,-100.1703578
345.8624886,-114.9346962
476.4755096,-51.33446905
522.5509583,-77.91027825
516.1241253,-94.26462237
531.1530271,-119.4775696
339.3367813,-138.4440659
437.5190143,-234.4122658
489.3291755,-228.6201022
515.4320049,-218.512209
463.5229693,-219.9886428
432.970794,-195.911414
414.0857925,-214.8779103
359.8037724,-177.5127768
409.0432005,-169.1084611
430.3011865,-145.4855196
464.017341,-157.9784214
400.7377548,-133.9011925
380.8640097,-151.1641113
396.6839063,26.47589004
386.9942197,11.15367283
420.0182537,1.577287066
320.8472772,49.57187922
336.7660481,46.52996845
520.8700943,-144.2362294
485.1764527,-18.96649631
454.5254031,8.111762055
229.3885002,-40.31800114
331.6245817,-149.4605338
305.0273806,2.253267237
260.9188112,-304.1966427
231.4697354,-291.4868106
247.8434215,-274.3405276
259.0340703,-249.4004796
312.8669808,-251.6786571
312.6313882,-265.9472422
227.1112722,-222.1822542
235.2392171,-231.4148681
198.9579558,-205.6354916
185.057992,-209.352518
183.4088438,-218.9448441
181.2885103,-250.7194245
320.0525553,-194.8441247
347.2635013,-197.7218225
421.003987,-228.4172662
423.1243204,-331.7745803
451.9844146,-286.8105516
467.1801377,-288.6091127
510.2935846,-344.9640288
242.8959768,-145.4436451
206.4969192,-150.4796163
210.3841972,-139.088729
132.167452,-102.3980815
200.8426966,-82.01438849
178.5791954,-141.3669065
274.7009786,-128.7769784
