X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
66.97107538,170.5873251
77.40677699,149.9685995
60.11252549,149.6045362
66.84519679,129.3362216
106.5018406,145.618043
95.8681552,111.7237488
85.31879622,122.6966169
96.60020641,129.9269143
82.8146678,133.5903014
154.8709937,161.0980149
190.8502718,167.9451357
202.2881136,161.7642508
218.4323481,160.8003932
136.8471353,104.8911906
124.794566,97.50434601
131.5968982,99.54037007
138.7353141,94.24688953
135.4783584,113.1699903
82.13150148,100.2839694
150.2159302,84.37531287
112.0991604,78.13071693
81.93351768,75.72516861
66.37345761,61.15444476
60.93623587,45.11745593
200.3559384,42.89211894
228.2521001,29.6693395
216.8839193,26.38366812
221.4241033,9.282704262
205.5047393,4.491631095
252.0480418,20.3829946
290.4239016,35.27409416
310.9787751,47.05336258
248.2594629,81.70945927
256.199591,-20.44942254
235.1082058,-34.47453947
231.0776467,-52.23897939
364.8413676,-8.823793036
346.116011,-35.33500868
339.5544368,2.712271664
329.1627316,13.72427665
316.2033476,6.453932339
408.9709787,55.63615513
404.7131049,35.7400952
408.2853682,-4.631661416
324.7337607,35.73645457
371.0815236,28.21308626
329.7884582,64.06058013
336.6518965,-25.10498587
389.4610197,-18.60897451
407.8331829,-43.63694308
419.2575814,-64.70250406
331.8648438,-74.51822688
371.7023617,-76.79023739
418.3739871,-101.9231088
405.324166,-87.4332323
399.8527249,-126.1809044
185.2077335,-111.7388317
186.5655113,-98.91545027
163.3659652,-128.2072562
225.8384087,-74.07471343
244.3523382,-83.74038529
278.1146866,-81.37409496
246.5912661,-113.2340297
194.8466114,-168.3093705
287.3661518,-261.642394
337.8837957,-267.6630227
345.1847539,-254.4492433
379.6938189,-213.0882944
367.7304645,-255.3986807
375.0607536,-133.5201224
324.9195233,-141.6959078
306.8761108,-133.007559
8.825642207,161.9745284
18.31866097,161.6743641
30.62267919,179.7201291
47.24460013,152.8904161
61.46938938,143.7179119
42.54938206,139.0340604
27.90011301,138.5571122
37.47331129,130.7463962
54.316905,126.4216369
64.72137619,129.458268
64.00683521,119.5758661
60.32918952,112.9142451
96.37106064,142.1351439
135.0706469,160.8346408
145.8677618,166.6832402
148.2212664,159.7536812
164.1416166,162.8160932
152.6051993,151.6455631
109.2563803,210.703342
132.3976033,77.451587
142.5686106,66.28289837
126.4100801,61.72703099
54.67535459,69.83146605
48.16548544,28.45299391
37.74804404,19.9646064
26.74812204,67.38871824
191.4580699,-32.25662899
205.4281713,-46.54346252
157.0575206,-68.20248769
135.8240985,-111.2485153
92.93395348,-90.20874923
94.63305174,-162.3210934
95.00800888,-174.840406
116.8498521,-133.1908452
200.4947729,-103.3661244
212.0099662,-100.1231624
226.1239191,-106.5250979
228.0317199,-117.3257785
245.3351667,-127.678938
183.1288332,-172.5564181
149.9793202,-204.8519074
274.6054061,-138.3204164
278.7039943,-146.637793
294.2104767,-146.1814968
264.5888623,-154.8410955
282.0573846,-82.86288238
340.5542364,-99.50014259
372.0966218,-152.3314666
391.2229734,-141.8504439
397.3543481,-128.2442939
391.2265108,-115.7412776
433.8041915,-137.5206446
367.3813588,-95.14276492
366.1539048,-51.2405552
376.9250793,-60.32385746
375.951134,-67.41525145
374.0893185,-233.4180532
307.4448131,-279.6594075
276.5061323,15.4943687
251.5302133,28.72921869
265.9224363,-82.63348073
327.4531394,-29.34335346
339.7689488,-36.8020408
358.2491479,-2.337891072
367.3683886,-22.06016466
405.2496721,-29.01115983
402.2877465,-33.65309583
406.0290642,5.35323625
400.842157,81.84632326
327.1677947,16.1858514
379.1995835,-35.9458587
319.5943678,-147.7685049
349.1641013,-141.1095894
365.1740639,-131.6426975
462.1205305,102.5779138
395.859236,125.040513
46.16336634,200.0974659
43.56435644,184.1130604
39.6039604,174.7563353
58.16831683,177.0955166
70.2970297,176.9980507
77.5990099,168.0311891
99.75247525,176.4132554
95.91584158,153.2163743
114.8514851,144.5419103
112.0049505,128.1676413
159.529703,129.8245614
172.029703,124.8538012
219.9257426,202.8265107
236.3861386,199.6101365
202.2277228,102.0467836
206.0643564,92.00779727
248.019802,76.31578947
266.7079208,57.11500975
334.2821782,84.89278752
314.9752475,90.35087719
352.3514851,79.43469786
423.019802,140.4483431
443.1930693,163.0604288
467.3267327,152.4366472
484.4059406,148.3430799
484.2821782,160.2339181
500.4950495,182.3586745
410.7673267,244.4444444
74.87623762,155.5555556
101.8564356,153.8986355
95.91584158,134.2105263
72.8960396,127.0955166
130.9405941,118.128655
151.1138614,118.4210526
60.89108911,98.14814815
158.539604,27.38791423
212.9950495,41.42300195
43.81188119,42.49512671
34.9009901,22.02729045
29.82673267,5.458089669
96.78217822,-21.81303116
96.16336634,-42.35127479
116.2128713,-18.98016997
127.1039604,-82.71954674
155.6930693,-60.4815864
125.6188119,-82.01133144
153.0940594,-109.0651558
52.1039604,-133.9943343
71.78217822,-138.5269122
226.1138614,-89.37677054
243.5643564,-110.9065156
275.1237624,-63.03116147
210.519802,-122.9461756
272.1534653,-199.0084986
291.8316832,-249.7167139
317.8217822,-76.34560907
335.2722772,-66.4305949
330.9405941,-95.04249292
374.6287129,-82.71954674
351.7326733,-40.65155807
390.3465347,-54.24929178
423.3910891,-94.47592068
448.3910891,-54.24929178
419.9257426,-45.04249292
417.5742574,-66.14730878
368.1930693,-50.42492918
338.3663366,-32.29461756
337.2524752,-10.4815864
322.5247525,13.25536062
442.3267327,14.81481481
