X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
187.0994661,477.9226957
168.131413,475.1661535
167.5637849,480.7698889
155.8545024,480.4641805
150.2565382,483.4219832
147.4775349,482.1744377
148.0151069,477.0447875
159.7135726,470.9810704
142.410289,467.0021014
147.6881,463.9625883
156.7433028,456.9213438
167.2424831,470.8985245
148.4191661,457.991038
126.4619998,458.1309739
120.4867598,465.0805667
111.1376577,473.0681427
109.7488932,461.4389835
106.8931287,459.5863152
108.3793768,451.1094063
103.3538592,446.8479438
113.8049148,448.6055041
134.0850347,447.7354815
132.0695546,441.1693073
149.1500423,452.0246875
166.4746537,455.8139871
171.9934715,451.1692836
176.4944617,442.0793697
175.28463,448.1422419
183.3940326,451.4400757
185.5974431,460.2440404
180.6549353,458.5852795
201.1240994,469.3613099
194.8291914,464.7684635
209.2510992,469.4214793
224.9338062,471.1712748
223.7693133,459.2107656
210.5101095,457.6591807
199.6249347,453.5846594
209.7895718,441.1668418
218.7037333,449.7394109
218.258366,443.4330693
229.41,442.6324629
182.0776036,438.9791989
191.336587,434.5182586
199.934435,434.3384636
206.0433469,430.3005685
220.9011824,434.7101622
239.3700897,424.2770065
231.9456856,421.3866364
242.337873,416.525612
237.2266061,412.0247388
244.3665126,409.1443749
229.3907291,408.2351781
219.1056068,414.2305284
221.51043,408.6282252
218.5942453,401.2266185
209.8221288,411.8801573
204.0209504,412.2307495
216.698936,422.8393956
198.1049892,416.6400005
191.5355482,409.0397523
207.8825505,400.6126386
175.5334942,419.6380113
166.6766554,421.8521803
164.4971037,418.5643971
160.1384511,420.8616927
151.7801467,421.6048894
150.0333367,432.2904027
144.9817231,440.618251
165.2568997,432.6018224
166.7292183,411.1924348
157.2486916,413.0282592
158.9948143,404.2561414
165.0860675,401.8768623
171.1711627,404.2027892
172.63545,408.3447374
183.8569583,400.9304656
175.6322703,397.1454604
181.1864123,391.7227786
174.9603621,391.5464137
167.9066747,393.5177217
156.5963391,394.5109212
143.7623724,402.3900232
139.5526948,408.3045992
140.8356791,416.1107087
132.5377873,421.8209762
133.2088257,429.9204857
120.8244018,429.1374044
121.7829045,434.8687636
114.0922155,426.4456016
121.1315234,422.5450553
116.5970701,413.4902821
109.6582735,413.1176662
110.153303,417.0953692
101.8122706,423.4493335
92.42330834,424.8576064
90.06090354,431.9074699
88.79239191,436.3798363
97.16203089,436.7988863
96.10390589,444.3727601
113.986477,435.9006882
126.2722772,413.4336853
123.4903399,405.024712
142.2993549,426.8662221
120.9186028,443.1211036
137.878815,457.6832173
163.7401918,442.3342525
179.4094096,426.2774994
186.3773729,429.17921
193.6858457,394.1476052
198.8439417,389.4523996
189.4285703,389.9395951
185.6702718,383.3126225
196.3619642,376.786968
211.2184227,391.7343909
206.9331156,389.4288062
207.7334607,382.1042517
217.2289753,383.6932715
224.0994393,386.2204657
221.3413043,389.6007845
218.4458918,373.9498579
210.813213,374.1204119
228.2070775,373.1220377
222.0389352,363.8859381
216.4641753,358.9730057
212.6481657,363.9398218
200.2293934,369.0211494
190.4973069,366.0227494
195.8264741,363.9180906
161.8781485,373.1864856
154.4737524,383.3305227
162.4638896,386.0046742
148.8327357,389.7087275
149.4718303,394.1738422
155.7524356,388.6634896
111.5341771,407.6604276
101.975499,412.9523178
91.40959268,410.0166079
107.501272,398.0908426
105.2508684,391.0060817
100.9162785,392.6964956
120.8560416,394.0950178
124.0990844,397.0693131
128.0954409,392.9270526
117.49128,384.7377069
120.4431857,377.4035278
132.868501,386.3754981
115.4342407,392.3879307
119.9363457,390.1896401
135.7943745,376.141149
149.0093128,378.1332313
170.2992005,367.7080261
175.0705218,374.2778756
157.2464237,355.7445901
145.0718824,357.4319582
121.1049566,353.7025303
84.66631166,354.5168968
174.6008399,335.3728405
184.4945801,337.8353861
178.5869707,353.1782989
192.0105727,349.0457796
193.6115644,358.7898815
206.4775537,351.1361729
215.3254865,347.2881549
223.5933245,346.2576788
222.4232757,336.5605947
194.1546558,334.2152047
202.7402739,319.9037055
196.9703794,314.1256143
136.4959061,334.0957125
215.8469583,314.4938814
219.8988366,302.4471211
236.4225433,316.4067618
232.2325949,333.9823725
241.1648054,334.4771289
243.6750973,325.0709529
249.2760606,320.787069
255.2594717,330.9620443
264.2045057,334.4443782
255.4723966,341.19015
249.670288,339.3862641
250.5476483,348.8038783
251.9476922,353.3165049
245.182914,347.6186419
237.1208857,350.4320567
232.7768795,345.920177
229.7784937,341.6345954
240.1388399,339.0370028
242.8158293,305.7425192
257.5234769,302.9956745
261.7652671,305.9666628
275.0334281,307.0620777
261.4372256,289.5858109
275.1148181,283.6641286
277.8639236,276.6103705
287.9974383,284.5091494
270.8852736,272.4773317
253.3513655,276.325077
258.4456823,264.9573104
226.6123655,290.4468952
238.6036289,283.0218637
217.6994148,291.2856424
208.7231658,296.3725345
197.8704004,295.8911406
189.2921965,296.2868407
180.7333625,293.858621
158.1364915,303.1489794
134.4315495,302.1995742
160.1921281,290.846291
176.1496938,285.3569234
210.345041,268.8005119
218.8508099,275.9445139
96.17339379,326.9016773
84.64137833,327.3906477
79.07358309,318.1670237
88.62837719,315.5379422
104.0562631,320.5719292
112.7965931,321.8587345
208.7647746,283.9808897
184.7816165,263.9580173
166.5165198,268.9414565
157.9551979,270.1707499
157.167823,250.6789624
119.9608991,256.6510168
116.6100217,266.8128434
101.6370883,279.5386611
93.77985246,275.8483122
101.6332094,257.303396
93.35383132,257.1315962
82.54097,259.7187392
99.39473844,238.8499293
91.40409108,241.6851976
91.201338,229.7864278
108.9303867,220.3837369
116.3102293,226.7700284
127.7247429,229.6836514
144.0677122,228.2433244
157.3029206,226.3996147
219.4843788,189.2664649
244.072679,208.1776928
220.1123883,253.2009285
234.330929,259.8390309
272.463241,221.7563157
317.9669258,204.8149013
340.8213366,204.9316675
324.4024082,176.4757384
313.8053683,182.0670792
319.4403684,186.4049791
306.5885134,187.1550931
307.6121999,166.1483397
306.5859623,161.7962303
337.9307475,163.606017
340.6789753,170.2264781
334.007449,142.9918141
355.3249997,141.9048755
355.9622624,148.86253
359.8282323,153.6341017
379.3025889,146.7977883
368.4175579,142.0231275
365.1768907,135.0634099
372.0998432,128.6734076
390.9925808,102.5718114
407.3273562,71.90382233
436.2052661,134.5071027
358.8856729,73.77717897
345.101557,82.38455801
332.2828718,86.14774744
305.8358676,85.37128719
296.9236774,74.99286466
306.3410273,63.48344535
266.2358462,78.53493786
232.4255677,102.641995
225.3606728,95.42408933
204.377379,131.5879036
467.9826147,64.1138593
493.449913,68.94944545
500.3670976,72.32144998
463.838637,85.94451997
531.17617,76.2882444
534.7249601,86.29521951
252.2017497,60.32298783
295.0325005,40.36239984
263.5872706,30.14386754
257.2862297,25.29079173
191.6042821,50.0342682
142.5249976,90.4294859
119.9541529,107.9216125
341.1439686,34.49488617
192.6083974,-25.69415484
242.3171094,-29.94656446
234.9141996,-69.23228493
226.8551302,-75.42163766
306.9403149,-98.22660018
358.654232,97.41641416
527.0702136,115.5682385
556.6884436,102.6286557
482.1927096,126.4455256
445.1550958,124.2708128
530.8465572,188.8455418
517.4181835,193.8903977
525.6393164,181.1435958
520.7645215,174.9618494
533.0303132,172.4902987
538.7367484,177.2879797
543.3943288,171.0820261
538.4797848,162.2840314
525.6748753,164.2551476
528.7156834,159.362479
531.0762336,153.0595524
514.9042356,154.5594259
506.3534922,156.1441924
498.016435,154.2232554
489.6527118,153.9904841
487.5205967,166.7931028
490.6590362,161.8205162
492.2488361,172.4984978
505.540523,166.6616763
504.3432502,178.019128
502.6146865,181.7627497
490.6719557,178.244531
490.4836258,186.8773482
501.4157554,187.4418341
505.3029839,190.7017002
496.1224548,190.6311511
479.6988146,190.1352413
466.1786198,197.0983853
466.3327818,188.6983238
473.6542825,181.3240801
465.7489037,183.8355443
453.4677556,193.2840629
462.0834683,211.3617834
476.3825466,202.471841
477.2466062,208.9092235
484.1654378,206.1700495
493.2747042,200.9654296
498.185665,195.9487326
409.1127585,204.8993228
455.2691318,167.7067691
464.3770004,165.9814703
440.48783,191.7910066
414.786983,182.3304163
387.3789932,176.6951513
368.2789945,181.6624605
437.338365,177.7483275
455.2219675,181.5229593
354.8896313,236.1550765
342.1248223,223.8526812
347.0167318,220.3500828
361.0515237,225.4748809
371.7150146,229.033866
351.0245591,248.2790417
451.1778848,219.1160993
445.4157382,221.1096116
453.991662,228.6171599
459.0143977,223.6415367
465.8557707,217.9823148
472.9031751,223.1506478
466.9825034,230.610537
460.2183576,235.4354815
457.2850606,242.2035522
471.6798328,237.937576
487.5740872,219.3029685
490.4919407,213.9388946
478.093192,220.9034874
515.2853069,210.0693344
525.5888363,213.8366452
519.4721166,215.2462339
530.3451415,209.0616482
532.2506629,202.9711155
542.3506469,197.5662634
554.8548305,205.1740024
564.6422552,203.6512358
540.5745501,216.0092762
533.463511,222.785092
551.6914263,215.9597417
547.2694433,225.4906169
535.4749222,228.6750629
525.5759684,226.1154581
521.1132863,221.3004596
528.1274992,218.9138484
519.0806356,228.7343546
521.7572385,234.0613545
528.4282502,236.2809109
515.2990203,240.8465787
506.4190035,242.6105283
504.6995052,236.4163441
507.7644814,229.5443292
500.1649908,246.2178782
501.4842077,251.1382453
513.0622496,251.1478535
523.3197372,254.0917301
519.9692263,259.1646498
507.8329916,261.778622
505.1488161,268.5056925
501.0896316,274.3494984
497.3036782,278.8422291
489.6168409,282.2176907
489.2061966,274.7788856
487.0736891,268.2411329
495.2874856,268.517768
497.8025459,256.7898153
488.9679234,258.6074008
487.738878,264.5909623
483.0717921,264.3345563
475.227466,271.7213953
454.8325706,267.1540798
453.4928707,275.2458459
462.7918338,268.7553743
461.8868688,281.8008282
456.6282128,285.8685501
473.0450296,286.0489326
475.5518067,288.2206025
458.2023688,294.2866609
451.9725184,258.1085385
438.4677957,259.8320639
478.7889858,254.7702344
478.8499649,248.7936544
489.6069417,248.8537344
448.6303599,251.163125
442.8628732,238.1345501
435.6327302,237.7596145
436.2110859,248.9023564
433.8808788,244.091934
418.1121189,255.4930287
420.0864261,260.0468593
411.1679907,259.4377892
408.5052555,255.1067285
405.9667233,263.8473542
399.8515643,261.6932716
409.0845048,273.3354622
401.4992412,273.5785519
419.0524815,274.3550398
427.5238796,274.1418504
424.6818836,279.4338526
428.592834,280.532549
441.3215173,268.3203345
434.4844693,264.205665
442.9105562,280.9765011
437.4847652,285.5417004
432.5062455,287.9724463
421.0114237,288.3798633
424.5960334,289.8171987
428.4375839,294.4350151
422.2000148,298.7167495
409.219168,291.7363104
408.3841714,284.7264618
395.0668492,284.3424235
386.4152805,289.2844678
386.015529,281.9985138
378.246424,289.9755373
374.4124163,291.6911623
376.7672935,268.5548484
372.0167611,271.6996242
372.8519099,254.8003262
371.4947963,263.02605
360.6495633,265.2090302
358.7410979,270.2673057
396.0410002,248.1187303
399.6609092,242.5471519
409.5754808,244.491211
426.4414564,246.6456202
469.03974,266.9243316
479.1373907,277.3849053
417.3580314,310.1782111
413.9122514,304.8689862
407.7648009,305.9037114
408.8122649,311.7295499
411.3860934,314.7262993
405.4244623,319.9568618
413.8782599,321.29227
420.9193977,320.4917159
430.795775,321.83708
434.3457051,311.6571278
441.5648401,309.0233567
444.4252969,304.4133317
451.5344301,300.7540983
462.5210571,305.2604965
469.478082,294.9995391
477.9392159,294.2282545
483.5608929,293.2810667
495.4205177,291.9565172
489.0735032,290.677936
498.9164283,286.7866652
462.2519256,319.1338568
454.9901247,318.198273
453.8101366,321.4874036
450.5075952,328.2497907
442.6347694,333.6542428
430.871695,331.464535
426.2608365,334.8801533
417.789418,338.1126992
398.7370204,312.0635639
395.5158342,305.683728
401.8330324,330.5301836
395.2670941,334.2701629
384.9024733,336.1515229
378.7012846,336.579056
393.1754937,324.7701571
365.02142,318.2356214
360.1601503,315.9695517
372.0312934,312.1442891
381.0699145,310.7439459
367.5882432,298.5519158
386.8882709,297.2547787
354.5962553,302.4505882
359.7289982,304.6748266
359.9175196,324.313017
396.1780217,341.9820299
393.116375,345.6928109
396.5758986,351.9157709
398.6795067,346.3471356
387.9349883,350.7283944
384.4196853,346.0598191
370.900968,354.255119
367.4253563,361.8314218
360.2379634,357.4337481
355.5053943,353.3704589
369.551211,347.2769292
358.760703,335.3113512
356.1907703,339.7635792
344.1848951,344.0216864
344.338654,355.9995366
343.4718319,351.0187221
336.1867224,335.5354636
344.6144256,366.5400191
355.6591261,365.2691587
468.2755909,308.2060105
434.8232954,343.4065923
426.4004426,340.551305
426.7473779,350.7600637
423.8331854,358.9686027
419.3833122,343.9421957
414.2910353,346.1464134
384.7805297,361.024042
379.2213763,375.896998
385.2740809,376.6437196
368.9364892,385.9376073
345.0610585,380.7382184
352.4791941,372.0558622
340.706075,373.8673428
345.3935492,397.5052477
350.9763185,405.6344616
337.9093704,406.3450137
331.297475,410.9084504
337.652781,396.9118905
325.909235,393.2007384
305.2307776,413.025055
316.6977198,412.1647787
303.2348261,404.0985567
298.4208465,415.5358287
292.7648361,423.7907873
287.9753405,407.2978299
272.6532718,410.9536168
284.0545044,431.6585264
315.3672338,385.8390319
305.2316244,377.7065161
299.9373104,383.5371821
307.162208,385.9616136
309.1664568,363.674255
307.9733677,369.3247811
321.5906007,351.0331039
323.8147105,338.4987812
287.0048784,358.8315577
296.3563224,364.6755107
277.8274106,378.3308251
272.2902498,389.3551132
288.2659927,385.4000558
298.8691941,397.507558
334.1192664,378.292363
324.6662597,377.292463
334.1812819,370.581157
327.9506333,353.3479839
335.5795822,348.1720489
319.9327019,328.9158699
309.5513722,323.4704893
303.4971331,339.5203465
293.9494302,352.7637643
292.0202346,346.5992632
300.0186119,347.2846634
276.3659944,341.1375577
282.7203709,333.6662513
272.5701571,334.1450497
282.2562297,323.5250355
280.5841674,313.8247774
271.6543643,317.8351614
260.0150615,320.1804405
310.6332177,307.0131004
320.4227506,311.3618314
325.5270616,317.3997447
336.850813,301.2480238
330.8858026,297.1779493
342.635964,297.2385202
345.1718811,289.8248835
325.0139316,292.7970266
323.8497389,297.6685029
319.6226597,291.7157077
390.6063851,260.5265169
345.2126983,267.5653419
323.200379,274.4469502
305.2458068,270.7305233
298.4563966,262.8588752
288.7881211,296.5774609
303.2874434,297.3037997
