X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
10.68776313,466.4470569
25.34862459,454.6836013
33.5785386,458.7739538
36.25370627,471.0656923
47.86666312,470.7280415
54.98278749,476.0505453
60.17632067,473.9036955
57.36262791,466.906055
56.2617593,460.7553575
62.12393885,460.6105926
59.38032369,456.9626621
57.73652921,451.7553103
41.11070398,451.6408827
27.47737332,442.2182896
38.25522082,444.518112
5.588170177,442.6143616
10.9480499,434.9712739
12.20048105,429.3017045
0.921381641,427.2136782
25.85825652,413.6784418
17.19670246,409.722876
10.82011711,415.7489261
39.99144186,412.6090804
46.7879106,422.397891
50.9803372,430.9547918
54.12881889,442.3801941
39.08963155,436.7405596
44.56184501,435.9990317
31.87642318,434.2672447
63.63747183,429.4619992
25.3444329,423.8431262
17.26817729,423.3527443
34.20050426,424.6703541
39.65944739,428.7416353
77.89602836,428.7680287
73.94072452,423.2046793
81.17011412,442.2821817
82.20125444,447.6532087
75.8102344,449.9252693
69.33505138,447.66367
66.56466268,451.927998
76.41054971,461.4278421
82.41218584,462.8424179
79.16813382,465.4030426
101.1126306,462.0326516
96.00104807,452.4362439
104.8702733,447.5939827
115.7046952,456.3429645
120.0923377,466.9116064
116.9738898,471.5609817
118.2787036,441.5000966
96.38938406,441.0394887
8.207112761,451.0269803
21.14944472,396.4392684
28.19490931,394.1286629
41.01897266,391.4230317
30.15672931,382.8761898
39.58273295,376.5611731
53.88319631,376.8490128
54.51040159,381.2960069
66.18004928,388.2641953
60.26211038,387.95656
57.86876676,400.2004996
74.92681423,404.4635399
79.38348642,410.6717731
76.25141883,417.5639179
72.15712416,413.8679471
135.2992688,477.3351615
138.2640584,469.0858155
139.8922538,461.9723792
133.7078571,447.736494
138.9570332,445.1853647
101.769171,477.4143441
123.3600195,433.3083669
126.1443772,429.3713089
130.9896182,425.8961467
142.9647197,426.3573985
136.7140877,437.0422388
150.6108489,438.1194053
140.1528899,433.0666358
137.2976396,427.6572248
158.9397099,453.0674468
169.0066549,449.8133346
173.8388585,452.8643412
169.1746315,456.3106148
170.945078,471.316836
185.9814709,456.3961538
197.6784743,459.735483
207.4811737,458.8300384
217.0055421,459.0893115
225.0963488,464.1903627
227.8959562,470.0040533
240.357642,464.7861598
253.3064944,458.1725202
282.9521811,461.8764571
282.1576978,456.072262
297.48837,454.8776898
293.966802,464.5997912
274.3730435,449.6043532
280.2619965,441.5473297
265.5723821,446.6594862
251.1888037,449.5481053
243.0842609,445.8331437
248.4456543,449.3268943
213.4115678,448.3281056
210.9881905,444.4972676
205.0566319,446.4324018
223.464311,443.0333636
184.196939,440.2059827
170.8712744,440.5533704
171.9570097,437.8099992
181.0092285,447.5024071
164.340565,439.5527304
234.6585488,435.4476507
242.3313351,438.4407191
251.577489,440.7213897
267.5068464,439.0358723
266.0434839,429.5162326
283.8254713,432.8070385
290.8863021,441.1038614
296.9570843,439.0147083
322.9840026,454.4332555
315.759154,468.7662678
330.9638729,462.9129054
343.1210364,471.0553874
360.7072257,468.0510529
342.0895468,463.1143208
364.0891042,455.0562509
340.5842774,452.6128709
337.2699149,450.1104259
344.2037444,446.0383397
332.4090748,441.2648
326.3093067,434.9892942
342.3086253,435.7968068
352.1956041,440.281702
372.3304256,440.6269165
375.8106689,434.2064042
405.8898586,451.4824323
394.1262707,470.4937889
426.2761211,457.7185077
433.4043514,449.6614037
455.975937,449.8813269
455.8489357,437.5124179
437.2027366,427.6377464
419.379541,428.5052095
409.49198,419.736915
402.4729396,411.5652225
394.27271,420.979608
382.3397483,423.2135261
385.9734171,418.6796247
377.7019455,416.1775016
366.9121085,428.1139669
358.3617238,422.4931622
357.7205496,417.718898
337.6837436,421.3779337
330.8752853,425.8254107
319.8186411,421.2635866
322.1154829,416.152235
305.9765913,412.9287017
301.1459014,421.0145333
295.9946244,426.7132329
246.6724134,413.7603564
253.8442971,419.5352605
349.8804852,413.3686286
343.8223912,406.3615732
335.3007594,407.3920676
327.7683612,412.811779
325.6782591,402.2718646
313.8707849,405.7378534
308.1053401,400.46339
315.5261032,393.2821982
285.1171313,408.4156423
271.5821654,405.5673389
268.7149256,414.3942155
278.4354414,423.5186686
285.0215609,422.4016694
272.9504234,432.4997251
365.0137292,393.8853979
373.6340751,401.9992327
383.7017187,403.8851997
410.3231305,387.9723265
402.8443958,378.4242007
387.5962564,372.1589147
412.6334755,379.7615256
418.1190757,375.0638684
427.4894365,369.1531313
422.2396782,367.4208613
451.9705758,383.3685769
461.2582872,384.0610181
448.4630932,394.2746282
466.260214,406.4595028
460.1217993,423.189223
488.7869818,384.2806193
398.9968847,346.3518963
439.7986283,368.9020658
455.2689899,370.9801942
480.4115566,334.0835731
340.2604267,323.7643892
294.9066734,310.7053732
288.138259,302.4277826
306.4630559,303.918563
304.6098437,294.6588403
316.8217186,295.5436038
347.189133,281.9983891
306.0275734,275.7829142
315.8136259,254.8465627
379.3261788,277.4626365
359.7991212,240.9731925
375.2973043,242.8491811
402.968017,263.4750801
438.5408377,232.6900481
436.8411674,226.1736161
506.6318245,235.3326703
414.3937887,217.7622852
391.5444543,222.990479
336.846881,206.2165819
289.4995274,175.4850635
345.5171677,274.4231375
345.7388079,265.9525805
321.3821083,245.2590869
282.5661671,285.4581826
274.572095,274.9379029
327.5656866,151.0238996
300.5545416,168.0533695
299.9938044,140.3990097
320.6952979,109.6149435
249.2793563,128.9863223
174.2295131,151.1782428
118.0395914,116.5200471
212.948836,117.2550554
308.4606183,453.1924943
244.2330877,395.0386907
216.1365566,417.3815715
203.8401694,409.3931084
196.0153548,414.7935875
188.802845,417.4603517
182.4819026,423.0821223
192.9118073,426.6236718
216.0970949,434.3900385
205.3184324,426.0934571
249.7096092,425.9943178
242.0648773,424.5124693
187.6005843,382.4616881
210.4084776,379.6784036
243.2275565,373.1886065
260.6477486,378.2505494
270.6305306,370.4627773
238.5603022,354.3612037
225.5683787,351.4262345
183.8663384,364.1443824
178.4845755,415.6802828
188.5786433,407.0839517
180.8914223,400.3368938
171.7875194,420.1758807
175.9658607,427.5488316
169.9231327,431.1492046
145.3446766,418.0695881
127.7022621,417.1948028
132.7693762,406.9624434
140.122274,412.7084589
152.1671038,413.9493811
165.3112885,410.2041626
157.8327866,402.3693965
149.3523631,399.2416219
146.9023286,404.1797223
135.6915603,392.5912081
129.5494197,381.9071727
114.7480537,384.4011687
122.0167885,385.6135243
123.5494136,392.4861149
122.159156,408.5898617
111.1401105,373.3126928
105.1085571,356.6800192
126.6939365,374.7844019
69.96597924,377.0501062
96.34875466,347.0068435
68.26363096,350.8300374
59.75550242,348.7610824
99.35999205,373.1498224
93.38815679,386.0966645
88.83603071,394.7311382
108.7907696,401.9586802
117.6881656,399.4843188
113.7769808,411.1796969
94.49158699,411.0943189
88.9639635,413.9534861
103.8067706,409.0145808
76.88805206,388.9276674
75.80138526,384.8175997
84.61531692,382.9496577
49.42605838,367.2140602
60.70527423,370.1587662
135.8795572,341.4887978
124.4332962,338.9002504
130.4896437,333.0571078
113.3342794,329.9298966
136.767515,317.8867284
99.24008998,310.5640716
96.20405847,306.8969089
67.29919159,323.9650043
55.7414119,320.4716562
66.82226806,298.2742648
103.678718,286.4612395
125.5831708,295.8159161
161.4186104,353.1630119
169.0045557,331.9187836
198.663862,333.3799509
206.1262991,325.4672095
68.22591245,278.2143888
88.19136004,261.7821647
87.95272362,247.6517751
85.48918597,255.6893249
101.7376168,245.2541013
123.238484,256.2547845
116.8636452,275.1310325
33.36166559,297.4197581
30.70395995,311.1556855
81.4371508,358.0195173
85.47638475,366.403167
294.9455563,391.8878204
279.6990471,397.6160525
226.3434239,419.1135196
86.40357472,426.5535844
109.0437242,418.9863794
113.9191155,432.4426746
106.7336121,428.91054
61.8282623,436.6043242
269.9709629,332.8074083
343.526831,383.2119847
341.6340407,390.104049
367.1736761,406.0616625
294.9828057,358.6024361
280.6726815,389.6844812
371.0128038,376.4530167
372.6965257,368.078621
369.9235754,353.495992
359.9833988,367.4056535
377.7081133,359.1072209
39.6927346,263.8548221
38.93003156,286.9756025
135.7430081,258.8721401
107.3048184,226.2431471
148.5336611,215.2480152
382.0380204,457.1342183
34.62346771,502.3652135
37.76199329,493.794984
42.36589096,497.8626377
49.55789803,499.113003
59.11058226,509.1109966
59.74924939,480.2163957
38.91691179,480.2849894
42.89683666,467.7301882
33.99192364,448.371851
42.79163986,437.1143272
68.39707363,479.8164604
83.57669352,509.3139216
81.11000807,479.3933649
91.77533372,465.9432918
109.1439076,494.8633202
122.4410624,471.7465952
131.1432433,466.1949032
127.973889,457.0817351
106.8181166,456.5844269
102.5164701,448.6382465
95.97205392,440.125967
92.97514409,431.944142
108.8585148,428.0436379
109.9915283,418.4829324
89.13800711,414.1070974
77.80516927,415.6856498
74.33094904,440.8782355
72.88685074,431.6355664
64.55254571,422.5100788
59.35676626,404.8143617
50.38532691,406.7468246
93.48517666,394.2196197
101.7657562,401.1523609
115.2763702,403.5940572
114.5005054,397.8291909
104.5577699,409.6053102
93.61390138,402.0003265
126.1887789,400.8601465
132.8313616,396.3220909
132.6041999,404.7393633
138.4714588,388.1411531
131.5274364,387.1148029
120.4430341,383.6712969
126.7088172,372.1777342
131.1848918,357.9725338
133.2869474,364.79854
144.4577072,367.1338955
151.3699992,360.9689954
160.8049563,360.6870302
143.2597903,379.099536
155.1956878,386.5513656
149.8467541,394.4022432
144.8751609,402.9133397
164.1127705,389.7706593
164.1886714,384.8664724
177.2502817,342.2390447
174.3825474,336.5918528
127.7056249,316.4161996
66.61331602,407.8566509
70.65994495,497.4175648
53.47273922,491.0615662
66.41094192,504.2547075
97.72525333,491.2547348
108.6709252,477.8754241
120.0482041,461.0537902
114.2912814,448.462622
128.2665852,438.9150246
138.4988612,445.6947102
145.0974537,451.1536624
144.4413899,431.5368162
129.5725842,423.9903739
137.8976049,415.6800337
144.2706586,410.6703933
153.1333847,419.0414437
154.2754121,430.0642102
153.8757158,438.5993541
161.1110819,437.1972148
172.0345783,430.9148374
170.7844688,422.8510811
170.526298,415.6833854
173.9449895,409.2823478
162.4726097,403.481016
166.020657,397.5161821
172.7383292,397.5168721
157.7527882,368.1491091
182.7347,388.9827139
194.9732995,387.3099431
200.9353888,396.4823427
203.8657723,425.9549678
199.9941098,433.4523293
192.1326069,443.4131672
231.3089622,414.1570682
242.30863,399.8228598
228.8309186,390.9326224
217.4964577,411.3970399
210.1314652,415.5106198
208.1588557,408.0716025
218.4788416,398.0049168
213.0132627,382.985259
212.8090879,374.8626656
207.1597063,365.6077755
180.5469181,375.9203552
186.6504428,370.4391299
182.7053139,354.5118808
183.2434702,365.9471978
187.4600216,360.3125225
190.5119192,355.9980878
190.3075641,349.9739238
193.4997249,344.6456555
207.5598535,351.8265579
214.0075458,356.6017367
221.5764426,363.7583945
237.2215638,371.8236294
233.0287207,352.524721
224.4678851,344.4720027
226.3116798,345.1795278
214.2782469,343.4335302
206.3320095,335.6166536
206.2680078,327.5294413
204.1445883,318.357436
210.883985,316.5072663
199.9064025,324.7937562
190.1371032,325.9598567
190.9041344,309.0428215
203.7478674,292.268494
188.0583953,298.3971258
89.26429737,450.2166017
267.0239883,385.5607937
263.1434021,371.4254685
274.8965789,372.0514891
267.2308681,362.2069455
251.1308824,377.2715437
250.8465689,423.3662292
231.7496733,430.2490024
223.1019393,429.599723
313.5866099,355.5863288
303.2905126,338.6210015
284.397882,352.5771534
323.3572616,338.6820074
320.0902818,336.3238859
324.5885319,315.0217522
308.2952787,320.5137197
314.527438,323.8624159
318.3771955,320.3143435
300.9851839,313.1802546
302.0210227,305.1285221
293.3293886,313.4270357
286.417367,316.4442916
278.3298746,321.1826106
279.7975909,306.5409108
287.0981309,299.5861922
304.1248816,290.9702337
317.9161123,290.3350482
324.5355277,304.4352879
322.3138515,309.3628323
349.4764248,300.6418146
341.3778446,308.9286002
344.5276382,294.7114747
335.7827294,295.5711682
334.1536563,305.7330582
348.7841223,326.2944543
343.0685751,334.1335053
337.9795252,329.2169989
329.4826012,330.3007077
333.7102402,321.1175658
269.767416,332.0157573
260.5149091,342.2711756
251.565555,338.1559199
237.2893525,335.8438232
232.8896296,339.8987631
237.9894967,344.414447
237.139354,324.6679026
242.9300808,320.3183824
256.3116094,319.1762308
251.7941594,312.9512119
268.1633134,302.5550575
258.5884538,299.6539973
261.7050744,295.033057
259.7321944,290.741684
267.7869647,290.3534767
249.7579088,293.2281235
244.4842448,303.5193174
223.9308108,320.446109
219.4664551,323.7583396
219.3147434,332.5174987
179.2067569,286.4776087
179.9839741,276.5042541
142.1790622,282.135479
236.5628878,257.1290657
253.2530422,275.6276107
269.4163083,277.0439426
277.5027188,284.8962003
283.3900793,285.3329955
293.871422,279.7461195
296.3726329,284.33227
285.8497345,271.5873562
277.7629634,267.9319574
294.8111681,260.6127833
297.2686593,272.0482974
306.4877227,274.5367086
313.2163022,273.0873614
320.1068696,268.773321
325.0891899,260.9106167
323.9027213,265.1309317
332.2590215,269.2579154
320.4965602,251.196067
330.3744826,240.7756679
326.934878,239.5846327
312.3124341,251.1480706
308.2585919,245.5243348
324.801092,225.5673762
347.777041,250.6565785
339.0647642,248.2153752
330.7507412,254.0264634
351.4102736,257.2233855
359.2386937,255.8095181
343.9285458,239.5156447
341.363243,227.8914966
353.4943014,222.8824477
359.4131218,233.6581373
351.7462388,237.4533851
340.7012283,277.5228222
333.6383968,278.8070901
323.954373,291.4556168
354.9877972,284.6801701
350.4488029,278.2075814
351.2472939,271.6294408
362.7527566,268.883802
369.1149029,265.3241988
377.5136605,277.2908251
370.6771792,279.600753
367.7328227,287.2514659
372.3795384,294.9619032
390.7757488,285.8037946
385.0506466,279.354662
392.2431045,275.3589537
399.1234858,264.1012327
403.5232087,260.0462928
395.2850865,260.9531942
386.1410224,264.0527434
377.4301883,244.8241044
370.713508,233.2820524
378.1861317,231.4555359
383.6534238,226.5401139
381.5944568,220.2092472
389.4658753,220.339734
401.3908654,229.2416008
403.6657261,232.8020912
396.4406362,240.0986964
396.5045477,249.2351234
416.5600287,254.9430255
406.3714725,241.3139763
410.5763049,246.5722708
412.2159248,239.1572025
419.6348231,235.1379396
429.717371,227.5940604
411.7103103,225.4702033
408.0230817,219.8582941
414.7085726,217.9138074
397.6288178,215.9433017
400.3349249,220.2583279
406.3419061,208.9415726
404.4343802,196.9991909
412.7255967,205.6295391
423.0879499,204.4517106
429.3419239,204.9003323
434.9282055,195.5758628
443.9614826,226.9117656
449.8263972,237.5931383
457.4398252,228.4574999
454.6913509,215.2536164
446.3025991,212.3291002
462.2316732,178.4965085
454.512327,165.4100037
459.7097294,164.2198557
470.5255946,155.6504149
461.792044,149.8139977
451.6240403,147.9738802
448.2051685,156.4733472
437.4436599,159.8910313
429.4430659,157.2259114
420.8373384,169.6623482
416.0705512,178.951535
413.4727967,168.5298544
440.0650325,146.428343
434.9220769,141.4175196
445.5437729,133.7675954
453.2110166,125.7754887
468.9858544,130.0800685
496.3000491,113.6491064
502.4038444,105.0202369
457.1263086,112.4779783
419.8056472,129.4502033
422.4681247,139.5653784
413.216249,142.4762937
408.0507572,148.7592625
405.796449,156.9877038
394.5163448,172.3003646
389.576482,188.0027114
379.3109429,191.8684259
392.001251,203.7883372
360.6439412,215.2439557
363.2653138,201.7812674
370.5005897,201.4283427
364.8293934,195.0735271
358.068813,192.4792682
352.0201859,186.5134485
343.9972361,193.0436913
344.9449142,207.0844038
335.6607671,209.0993571
324.8453528,212.4227243
