Litter,TM,Animal,Segment,ID,Position X,Position Y,Position Z,Clone,Colour,map,D/V,G/W,Hemisphere,Damage,MN,Midline cell,Note,#n of projections,Projection code,Projection ID,Projection direction,Branching (yes/no),RCT (Zaxis),N# branching points,ID.1,code,dentrite lengh (um),Soma area (um^2),Soma volume  (um^3),N terminal points,Neurite complexity,Average Lengh,Total_length_um,N of total branching points,notes
S107,E10.5,S107_a7,s3,0,972.115,689.967,1301.1,c2,g,3,d,g,l,no,no,no,,2,PI,1,DL,Yes,C,2,510002,DI,227,1438,3861,3,7,239,478,5,
S107,E10.5,S107_a7,s3,0,972.115,689.967,1301.1,c2,g,,d,g,l,no,no,no,,2,PII,2,VM,Yes,R,3,510224,DII,251,,,4,,,,,
S107,E10.5,S107_a7,s3,1,1103.09,870.38,1231.44,c2,g,3,d,g,r,no,no,no,,2,PI,1,D,Yes,T,1,510002,DI,164,1258,3714,2,8,299,598,4,
S107,E10.5,S107_a7,s3,1,1103.09,870.38,1231.44,c2,g,,d,g,r,no,no,no,,2,PII,2,VL,Yes,T,3,510137,DII,434,,,6,,,,,
S107,E10.5,S107_a7,s3,2,1267.13,940.44,1215.05,c2,g,5,v,g,r,no,no,no,,4,PI,1,L,No,T,0,510002,DI,148,1579,5170,1,5,108.3125,433.25,1,
S107,E10.5,S107_a7,s3,2,1267.13,940.44,1215.05,c2,g,,v,g,r,no,no,no,,4,PII,2,VM,No,R,0,510144,DII,107,,,1,,,,,
S107,E10.5,S107_a7,s3,2,1267.13,940.44,1215.05,c2,g,,v,g,r,no,no,no,,4,PIII,3,M,No,C,0,510232,DIII,53.6,,,1,,,,,
S107,E10.5,S107_a7,s3,2,1267.13,940.44,1215.05,c2,g,,v,g,r,no,no,no,,4,PIV,4,D,Yes,R,1,510272,DIV,124.65,,,2,,,,,
S107,E10.5,S107_a7,s3,4,805.16,573.187,1182.26,c2,g,2,d,g,l,no,no,no,,5,PI,1,DL,Yes,R,4,510002,DI,279,1467,4955,5,9,102.18,510.9,4,
S107,E10.5,S107_a7,s3,4,805.16,573.187,1182.26,c2,g,,d,g,l,no,no,no,,5,PII,2,V,No,T,0,510218,DII,99,,,1,,,,,
S107,E10.5,S107_a7,s3,4,805.16,573.187,1182.26,c2,g,,d,g,l,no,no,no,,5,PIII,3,VM,No,T,0,510316,DIII,15.7,,,1,,,,,
S107,E10.5,S107_a7,s3,4,805.16,573.187,1182.26,c2,g,,d,g,l,no,no,no,,5,PIV,4,DM,No,T,0,510333,DIV,24.8,,,1,,,,,
