Animal,Segment,Ref,Location,Position X,Position Y,Position Z,Rotation
S111_a12,s1,CC,caudal,679,1074,2045,270
S111_a12,s1,L,caudal,767,345,2045,
S111_a12,s1,T,caudal,428,836,2042,
S111_a12,s1,B,caudal,1120,789,2045,
S111_a12,s1,CC,rostral,1319,850,83,
S111_a12,s1,L,rostral,976,1691,83,
S111_a12,s1,T,rostral,639,1210,83,
S111_a12,s1,B,rostral,1760,1106,83,
S111_a12,s2,CC,,,,,
S111_a12,s2,CC,,,,,
S111_a12,s3,CC,,,,,
S111_a12,s3,CC,,,,,
S111_a12,s4,CC,caudal,261,1122,142,
S111_a12,s4,L,caudal,439,433,568,
S111_a12,s4,T,caudal,911,590,568,
S111_a12,s4,B,caudal,28,938,568,
S111_a12,s4,CC,rostral,676,715,3193,60
S111_a12,s4,L,rostral,602,277,3186,
S111_a12,s4,T,rostral,1108,395,3186,
S111_a12,s4,B,rostral,318,659,3186,
S111_a12,s5,CC,caudal,622,754,2048,90
S111_a12,s5,L,caudal,611,1345,2051,
S111_a12,s5,T,caudal,1226,949,2048,
S111_a12,s5,B,caudal,199,980,2054,
S111_a12,s5,CC,rostral,444,849,359,
S111_a12,s5,L,rostral,533,1444,359,
S111_a12,s5,T,rostral,1143,969,365,
S111_a12,s5,B,rostral,87,1111,365,
S111_a12,s6,CC,,,,,
S111_a12,s6,CC,,,,,
