ID,Position X,Position Y,Position Z,Colour,D/V,G/W,Hemisphere,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Damage,Chx10,ChAT,Notes
0,808.383,1261.24,2225.62,r,d,w,l,no,,no,,fa,no,,no,no,
1,1050.19,1180.05,2194.52,r,d,w,l,no,,no,,og,no,,no,no,
2,1141.38,1026.73,2135.42,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
3,775.018,276.795,2076.31,r,d,g,r,yes,,d,,,no,,no,no,
4,938.667,961.974,2051.43,g,d,g,l,yes,,no,,,no,,no,no,
5,1031.59,1206.88,2054.54,r,d,w,l,no,,no,,og,no,,no,no,
6,861.903,1284.37,2048.32,r,d,w,l,no,,no,,fa,no,,no,no,
7,840.772,1284.75,2045.21,r,d,w,l,no,,no,,fa,no,,no,no,
8,826.163,1174.52,1979.89,r,d,g,l,yes,,no,,,no,,no,no,
9,989.002,926.962,1976.78,g,d,g,l,yes,,no,,,no,,no,no,
10,888.961,1053.34,1951.89,g,d,g,l,yes,,no,,,no,,no,no,
11,659.643,882.232,1948.78,g,d,g,l,yes,,no,,,no,,no,no,
12,933.445,1102.69,1936.34,g,d,g,l,no,,no,,pa,no,,no,no,
13,1069.06,1136.41,1930.12,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
14,1180.52,1114.21,1930.12,g,d,w,l,no,,no,,og,no,,no,no,
15,826.666,1022.9,1923.9,g,d,g,,yes,,no,,,no,,no,no,
16,1012.26,1203.64,1914.56,g,d,g,l,yes,,no,,,no,,no,no,
17,1015.76,1195.19,1908.34,r,d,g,l,yes,,no,,,no,,no,no,
18,1066.9,1189.27,1908.34,r,d,w,l,no,,no,,og,no,,no,no,
19,721.754,934.251,1911.45,g,d,g,l,yes,,no,,,no,,no,no,
20,733.775,977.78,1908.34,g,d,g,l,yes,,no,,,no,,no,no,
21,919.638,1093.14,1905.23,g,d,g,l,yes,,no,,,no,,no,no,
22,932.181,986.019,1905.23,g,d,g,l,yes,,no,,,no,,no,no,
23,884.682,1119.91,1895.9,r,d,g,l,yes,,no,,,no,,no,no,
24,970.237,1182.7,1899.01,g,d,g,l,yes,,no,,,no,,no,no,
25,1000.86,1182.78,1895.9,g,d,g,l,yes,,no,,,no,,no,no,
26,1019.42,1171.82,1892.79,g,d,g,l,yes,,no,,,no,,no,no,
27,993.627,1119.72,1886.57,g,d,g,l,yes,,no,,,no,,no,no,
28,948.403,1142.4,1886.57,r,d,g,l,yes,,no,,,no,,no,no,
29,963.051,1157.76,1886.57,g,d,g,l,yes,,no,,,no,,no,no,
30,1016.74,1154.3,1886.57,g,d,g,l,no,,no,,fa,no,,no,no,
31,744.958,842.346,1886.57,g,d,g,l,yes,,no,,,no,,no,no,
33,786.782,941.546,1883.46,r,d,g,l,yes,,no,,,no,,no,no,
34,807.86,931.793,1886.57,g,d,g,l,yes,,no,,,no,,no,no,
35,843.013,936.751,1880.35,g,d,g,l,yes,,no,,,no,,no,no,
36,787.981,970.235,1883.46,g,d,g,l,yes,,no,,,no,,no,no,
37,718.288,917.118,1880.35,g,d,g,l,yes,,no,,,no,,no,no,
38,731.056,967.507,1886.57,g,d,g,l,yes,,no,,,no,,no,no,
39,715.235,952.758,1877.24,g,d,g,l,yes,,no,,,no,,no,no,
40,676.521,845.306,1874.13,r,d,g,l,no,,no,,pa,no,,no,no,
41,676.378,794.618,1867.91,r,d,g,l,yes,,no,,,no,,no,no,
42,662.36,811.082,1864.8,g,d,g,l,yes,,no,,,no,,no,no,
43,665.305,797.245,1867.91,g,d,g,l,yes,,no,,,no,,no,no,
44,721.724,916.252,1871.02,g,d,g,l,yes,,no,,,no,,no,no,
45,735.618,931.698,1874.13,g,d,g,l,yes,,no,,,no,,no,no,
46,776.803,889.053,1867.91,r,d,g,l,yes,,no,,,no,,no,no,
47,766.681,921.141,1877.24,r,d,g,l,yes,,no,,,no,,no,no,
48,841.329,858.487,1864.8,g,d,g,l,yes,,no,,,no,,no,no,
49,735.442,832.784,1858.57,g,d,g,l,yes,,no,,,no,,no,no,
50,706.799,814.659,1867.91,g,d,g,l,yes,,no,,,no,,no,no,
51,594.006,900.387,1864.8,g,d,g,l,yes,,no,,,no,,no,no,
52,671.512,1006.48,1867.91,r,d,g,l,yes,,no,,,no,,no,no,
53,725.45,981.766,1867.91,r,d,g,l,yes,,no,,,no,,no,no,
54,741.713,1017.72,1867.91,r,d,g,l,yes,,no,,,no,,no,no,
55,750.045,1029.44,1867.91,g,d,g,l,yes,,no,,,no,,no,no,
56,759.207,1017.41,1864.8,g,d,g,l,yes,,no,,,no,,no,no,
57,798.748,1026.69,1864.8,g,d,g,l,yes,,no,,,no,,no,no,
58,832.69,1111.73,1871.02,g,d,g,l,yes,,no,,,no,,no,no,
59,847.597,1106.47,1864.8,r,d,g,l,yes,,no,,,no,,no,no,
60,924.724,1050.09,1864.8,g,d,g,l,yes,,no,,,no,,no,no,
61,916.015,1017.12,1871.02,g,d,g,l,yes,,no,,,no,,no,no,
62,936.21,1098.63,1864.8,g,d,g,l,yes,,no,,,no,,no,no,
63,949.447,1140.26,1871.02,r,d,g,l,yes,,no,,,no,,no,no,
64,934.301,1163.62,1861.68,g,d,g,l,yes,,no,,,no,,no,no,
65,1028.29,1212.55,1861.68,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
66,1055.94,1185.18,1867.91,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
67,1079.85,1159.13,1861.68,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
68,1155.18,1142.15,1861.68,g,d,w,l,no,,no,,og,no,,no,no,
69,1047.82,1072.77,1855.46,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
70,1011.14,1083.43,1855.46,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
71,874.7,1059.84,1877.24,g,d,g,l,yes,,no,,,no,,no,no,
72,884.392,1120.36,1886.57,r,d,g,l,yes,,no,,,no,,no,no,
73,701.645,894.92,1880.35,g,d,g,l,yes,,no,,,no,,no,no,
74,749.72,955.227,1874.13,g,d,g,l,yes,,no,,,no,,no,no,
75,723.463,993.854,1877.24,g,d,g,l,yes,,no,,,no,,no,no,
76,669.131,1027.92,1877.24,r,d,g,l,yes,,no,,,no,,no,no,
77,747.197,883.407,1880.35,r,d,g,l,yes,,no,,,no,,no,no,
78,714.402,968.949,1874.13,g,d,g,l,yes,,no,,,no,,no,no,
79,1199,1047.7,1867.91,r,d,g,l,no,,no,,,yes,,no,no,some blurriness
80,1177.78,904.938,1864.8,r,d,g,l,no,,no,,,yes,,no,no,some blurriness
81,1011.3,1194.62,1855.46,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
82,1003.76,1153.48,1849.24,r,d,g,l,yes,,no,,,no,,no,no,
83,1053.16,1151.3,1846.13,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
84,785.844,961.238,1855.46,r,d,g,l,yes,,no,,,no,,no,no,
85,801.203,977.799,1852.35,r,d,g,l,yes,,no,,,no,,no,no,
86,779.084,995.658,1849.24,r,d,g,l,yes,,no,,,no,,no,no,
87,674.559,842.519,1846.13,r,d,g,l,no,,no,,pa,no,,no,no,
88,685.621,839.267,1858.57,r,d,g,l,no,,no,,pa,no,,no,no,
89,697.878,857.134,1855.46,g,d,g,l,yes,,no,,,no,,no,no,
90,690.609,909.169,1852.35,g,d,g,l,yes,,no,,,no,,no,no,
91,792.945,942.398,1861.68,g,d,g,l,yes,,no,,,no,,no,no,
92,693.167,940.297,1846.13,r,d,g,l,no,,no,,fa,no,,no,no,
93,700.458,960.128,1846.13,r,d,g,l,no,,no,,fa,no,,no,no,
94,732.029,974.523,1846.13,r,d,g,l,yes,,no,,,no,,no,no,
95,749.374,930.467,1839.91,g,d,g,l,yes,,no,,,no,,no,no,
96,755.196,1008.44,1836.8,r,d,g,l,no,,no,,fa,no,,no,no,
97,746.124,1029.26,1846.13,r,d,g,l,yes,,no,,,no,,no,no,
98,762.615,1046.5,1843.02,r,d,g,l,yes,,no,,,no,,no,no,
99,799.049,1025.26,1849.24,g,d,g,l,yes,,no,,,no,,no,no,
100,812.469,1041.89,1846.13,g,d,g,l,yes,,no,,,no,,no,no,
101,801.91,1038.26,1843.02,r,d,g,l,yes,,no,,,no,,no,no,
102,836.994,1078.25,1846.13,g,d,g,l,yes,,no,,,no,,no,no,
103,868.621,1028.94,1846.13,g,d,g,l,yes,,no,,,no,,no,no,
104,861.226,995.914,1839.91,r,d,g,l,yes,,no,,,no,,no,no,
105,911.204,955.611,1833.69,r,d,g,l,yes,,no,,,no,,no,no,
106,891.21,955.97,1833.69,g,d,g,l,yes,,no,,,no,,no,no,
107,743.385,863.601,1830.58,r,d,g,l,yes,,no,,,no,,no,no,
108,886.164,879.16,1830.58,r,d,g,l,yes,,no,,,no,,no,no,
109,667.957,800.553,1827.47,r,d,g,l,no,,no,,pa,no,,no,no,
110,656.888,810.75,1830.58,r,d,g,l,no,,no,,pa,no,,no,no,
111,655.489,837.647,1830.58,r,d,g,l,yes,,no,,,no,,no,no,
112,671.829,877.973,1830.58,r,d,g,l,yes,,no,,,no,,no,no,
113,816.796,942.826,1830.58,g,d,g,l,yes,,no,,,no,,no,no,
114,829.983,1013.17,1821.25,g,d,g,l,yes,,no,,,no,,no,no,
115,801.866,1013.67,1821.25,g,d,g,l,yes,,no,,,no,,no,no,
116,791.251,982.654,1830.58,r,d,g,l,yes,,no,,,no,,no,no,
117,787.326,996.99,1815.03,r,d,g,l,yes,,no,,,no,,no,no,
118,780.192,1013.96,1815.03,r,d,g,l,yes,,no,,,no,,no,no,
119,780.59,1036.45,1815.03,r,d,g,l,yes,,no,,,no,,no,no,
120,933.321,1071.41,1830.58,g,d,g,l,yes,,no,,,no,,no,no,
121,930.748,1098.92,1830.58,g,d,g,l,yes,,no,,,no,,no,no,
122,957.172,1140.28,1830.58,r,d,g,l,yes,,no,,,no,,no,no,
123,903.386,1099.34,1821.25,r,d,g,l,yes,,no,,,no,,no,no,
124,980.59,1114.17,1818.14,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
125,1029.9,1149.56,1824.36,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
126,1022.85,1174.68,1824.36,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
127,1008.03,1184.95,1821.25,r,d,g,l,no,,no,,,yes,,no,no,some blurriness
128,1063.8,1193.32,1824.36,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
129,952.655,1202.85,1830.58,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
130,915.419,1214.11,1821.25,r,d,g,l,no,,no,,fa,no,,no,no,
131,895.251,1165.69,1818.14,r,d,g,l,no,,no,,fa,no,,no,no,
132,932.415,1206.16,1808.8,r,d,g,l,no,,no,,fa,no,,no,no,
133,808.218,1142.11,1811.92,r,d,g,l,yes,,no,,,no,,no,no,
134,877.626,958.017,1827.47,r,d,g,l,yes,,no,,,no,,no,no,
135,923.518,934.035,1827.47,r,d,g,l,yes,,no,,,no,,no,no,
136,860.836,898.04,1802.58,r,d,g,l,yes,,no,,,no,,no,no,
137,862.46,915.472,1799.47,r,d,g,l,yes,,no,,,no,,no,no,
138,795.061,744.83,1802.58,g,d,g,l,yes,,no,,,no,,no,no,
139,956.059,1086.93,1808.8,g,d,g,l,yes,,no,,,no,,no,no,
140,998.629,1192.99,1805.69,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
141,998.23,1124.15,1790.14,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
142,863.74,1184.65,1793.25,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
143,921.133,1245.45,1783.92,r,d,w,l,no,,no,,wf,no,,no,no,
144,903.091,1250.15,1783.92,r,d,w,l,no,,no,,fa,no,,no,no,
145,1012.26,1203.19,1790.14,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
146,931.939,1177.69,1777.7,r,d,g,l,no,,no,,fa,no,,no,no,
147,1017.29,1158.62,1774.59,g,d,g,l,no,,no,,,yes,,no,no,some blurriness
148,706.956,892.981,1780.81,r,d,g,l,yes,,no,,,no,,no,no,
149,975.318,1262.52,1777.7,r,d,w,l,no,,no,,fa,no,,no,no,
150,968.636,1188.14,1768.37,r,d,g,l,no,,no,,wf,no,,no,no,
151,954.806,1215.22,1762.15,r,d,g,l,yes,,no,,,no,,no,no,
152,961.54,1171.98,1762.15,r,d,g,l,yes,,no,,,no,,no,no,
153,930.432,1180.04,1768.37,r,d,g,l,yes,,no,,,no,,no,no,
154,785.701,838.895,1762.15,r,d,g,l,yes,,d,,,no,,no,no,
155,815.609,868.979,1762.15,r,d,g,l,yes,,d,,,no,,no,no,
156,938.564,1314.18,1759.04,r,d,w,l,no,,no,,fa,no,,no,no,
157,999.613,1267.46,1755.92,r,d,w,l,no,,no,,fa,no,,no,no,
158,994.859,1192.38,1743.48,g,d,g,l,yes,,no,,,no,,no,no,
