Litter,TM,TM Amount,Animal,Segment,ID,Position X,Position Y,Position Z,Clone,Colour,D/V,G/W,Hemisphere,Damage,Neuron,MN,Commissural neuron,Midline cell,Glial cell,Uncertain,Chx10,ChAT,Lhx5,Notes
S111,E9.5,1,S111_a7,s2,30,100.889,-120.418,2363.829321,c1,r,v,g,l,no,yes,no,no,no,no,no,,,,no
S111,E9.5,1,S111_a7,s2,29,81.951,200.68,2380.956249,c1,g,d,g,l,no,no,no,no,no,og,no,,,,no
S111,E9.5,1,S111_a7,s2,27,58.196,-50.066,2389.509269,c1,r,d,g,l,no,yes,no,no,no,no,no,,,,no
S111,E9.5,1,S111_a7,s2,28,206.64,-191.539,2389.509269,c1,r,v,g,l,no,yes,no,no,no,no,no,,,,no
S111,E9.5,1,S111_a7,s2,31,108.5,104,2402.991503,c1,g,d,g,l,no,no,no,no,no,og,no,,,,no
S111,E9.5,1,S111_a7,s2,26,175.64,-28.037,2410.907486,c1,r,d,g,l,no,yes,no,no,no,no,no,,,,no
S111,E9.5,1,S111_a7,s2,25,107.281,194.09,2419.47095,c1,g,d,g,l,no,no,no,no,no,pa,no,,,,no
S111,E9.5,1,S111_a7,s2,24,151.59,-265.11,2428.02397,c1,r,v,g,l,no,yes,no,no,no,no,no,,,,no
S111,E9.5,1,S111_a7,s2,23,150.21,-119.134,2445.140455,c1,g,v,g,l,no,no,no,no,no,pa,no,,,,no
S111,E9.5,1,S111_a7,s2,22,286.42,-123.448,2449.422187,c1,g,v,g,l,no,yes,no,no,no,no,no,,,,no
S111,E9.5,1,S111_a7,s2,21,179.6,-125.737,2457.98565,c1,g,v,g,l,no,no,no,no,no,wf,no,,,,no
S111,E9.5,1,S111_a7,s2,19,170.23,-56.774,2462.267382,c1,g,v,g,l,no,no,no,no,no,og,no,,,,no
S111,E9.5,1,S111_a7,s2,20,89.618,1.543,2462.267382,c1,g,d,g,l,no,no,no,no,no,og,no,,,,no
S111,E9.5,1,S111_a7,s2,17,102.451,-20.189,2470.820403,c1,g,d,g,l,no,no,no,no,no,og,no,,,,no
S111,E9.5,1,S111_a7,s2,18,187.72,-12.184,2470.820403,c1,g,d,g,l,no,no,no,no,no,og,no,,,,no
S111,E9.5,1,S111_a7,s2,15,380.48,-226.168,2483.665599,c1,r,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,16,326.44,167.33,2483.665599,c1,g,d,g,l,no,no,no,no,no,pa,no,,,,no
S111,E9.5,1,S111_a7,s2,13,448.52,-212.399,2496.500351,c1,r,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,14,592.03,6.434,2496.500351,c1,r,d,g,l,no,yes,no,no,no,no,no,,,,no
S111,E9.5,1,S111_a7,s2,11,451.94,-247.066,2505.063815,c1,g,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,12,411.73,-273.639,2513.616836,c1,g,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,9,513.96,-247.475,2513.616836,c1,g,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,10,493.17,-265.645,2513.616836,c1,g,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,8,194.76,-74.348,2517.898568,c1,r,d,g,l,no,no,no,no,no,no,yes,,,,no
S111,E9.5,1,S111_a7,s2,7,424.56,-177.276,2522.1803,c1,r,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,6,229.24,-75.258,2526.462031,c1,g,d,g,l,no,no,no,no,no,no,yes,,,,glia
S111,E9.5,1,S111_a7,s2,4,509.07,-252.88,2530.73332,c1,g,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,3,516.95,-279.924,2535.015052,c1,r,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,5,234.04,-46.863,2535.015052,c1,r,d,g,l,no,no,no,no,no,no,yes,,,,no
S111,E9.5,1,S111_a7,s2,1,457.82,-281.026,2539.296784,c1,r,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,2,417.96,-282.282,2539.296784,c1,r,v,g,l,no,no,no,no,no,pa,no,,,,glia
S111,E9.5,1,S111_a7,s2,0,606.29,-332.21,2573.529753,c1,r,v,w,l,no,no,no,no,no,pa,no,,,,glia
S107,E10.5,1,S107_a2,s1,0,542.98,685.31,627.6994659,c1,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,1,611.85,659.99,627.6994659,c1,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,2,632.55,785.97,631.828259,c1,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,3,343.77,701.22,1007.5444,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,12,534,479,1019.604345,c2,r,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,18,37,247,1143.528588,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,17,176,531,1147.558645,c2,g,d,g,r,no,yes,no,no,no,no,no,,no,,no
S107,E10.5,1,S107_a2,s1,4,414.59,730.59,1156.182966,c2,g,d,g,r,no,yes,no,no,no,no,no,,no,,no
S107,E10.5,1,S107_a2,s1,19,-8,230,1163.678872,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,16,304,497,1171.738985,c2,r,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,6,186.85,584.29,1172.696123,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,5,243.8,758.34,1172.696123,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,15,95,568,1192.896783,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,14,171,658,1200.956896,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,13,188,455,1209.017009,c2,r,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,7,283.36,625.34,1213.984054,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,9,307.26,600.33,1218.114862,c2,g,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s1,8,253.71,610.33,1222.24567,c2,g,d,g,r,no,yes,no,no,no,no,no,,no,,no
S107,E10.5,1,S107_a2,s1,10,356.87,599.92,1222.24567,c2,g,d,g,r,no,yes,no,no,no,no,no,,no,,no
S107,E10.5,1,S107_a2,s1,11,644.28,440.85,1313.073073,c2,r,d,g,r,no,no,no,no,no,no,yes,,no,,no
S107,E10.5,1,S107_a2,s4,42,-331.43,-137.85,8036.859969,c3,g,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,41,-443.27,-135.8,8078.147899,c3,g,v,w,r,no,no,no,no,no,pa,no,,,,no
S107,E10.5,1,S107_a2,s4,40,-415.28,-139.81,8078.147899,c3,g,v,w,r,no,no,no,no,no,pa,no,,,,no
S107,E10.5,1,S107_a2,s4,54,-230.71,-300.93,8090.530249,c3,r,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,53,-313.65,-235.58,8102.912598,c3,r,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,58,-330.4,-196.2,8107.043406,c3,g,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,59,-339.62,-185.31,8111.174214,c3,g,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,39,-321.81,325.211,8123.566638,c3,g,d,g,r,no,yes,no,no,no,no,no,,,,no
S107,E10.5,1,S107_a2,s4,38,-401.76,-196.18,8140.079796,c3,r,v,w,r,no,no,no,no,no,og,no,,,,glial endfoot?
S107,E10.5,1,S107_a2,s4,37,-175.2,511.608,8148.331337,c3,g,d,g,r,no,yes,no,no,no,no,no,,,,no
S107,E10.5,1,S107_a2,s4,55,-359.73,-196.2,8148.331337,c3,r,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,56,-365.59,-183.64,8148.331337,c3,g,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,36,-393.18,-43.13,8148.331337,c3,g,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,52,-162.85,-266.58,8156.592953,c3,r,v,w,r,no,no,no,no,no,gl,no,,,,glial endfoot?
S107,E10.5,1,S107_a2,s4,35,-129.11,487.418,8156.592953,c3,g,d,g,r,no,yes,no,no,no,no,no,,,,no
S107,E10.5,1,S107_a2,s4,34,-272.23,-133.12,8156.592953,c3,g,v,g,r,no,no,no,no,no,wf,no,,,,no
S107,E10.5,1,S107_a2,s4,33,-251.71,-120.67,8160.723761,c3,g,v,g,r,no,no,no,no,no,wf,no,,,,no
S107,E10.5,1,S107_a2,s4,31,-391.96,-202.09,8164.854569,c3,r,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,32,-369.52,-200.88,8164.854569,c3,g,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,29,-421.49,-172.87,8168.975302,c3,r,v,w,r,no,no,no,no,no,gl,no,,,,glial endfoot?
S107,E10.5,1,S107_a2,s4,30,-408.38,-188.79,8168.975302,c3,r,v,w,r,no,no,no,no,no,gl,no,,,,glial endfoot?
S107,E10.5,1,S107_a2,s4,57,-182.12,-114.94,8168.975302,c3,g,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,28,-131.99,510.894,8177.236919,c3,g,d,g,r,no,yes,no,no,no,no,no,,,,no
S107,E10.5,1,S107_a2,s4,27,-81.43,-62.02,8177.236919,c3,g,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,50,-115.1,-63,8185.48846,c3,r,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,20,-301.22,-256.63,8189.619268,c3,r,v,w,r,no,no,no,no,no,gl,no,,,,glial endfoot?
S107,E10.5,1,S107_a2,s4,21,-200.32,-138.83,8189.619268,c3,g,v,g,r,no,no,no,no,no,wf,no,,,,glia
S107,E10.5,1,S107_a2,s4,48,-223.17,-133.37,8189.619268,c3,r,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,19,-321.62,-247.93,8189.619268,c3,r,v,w,r,no,no,no,no,no,gl,no,,,,glial endfoot?
S107,E10.5,1,S107_a2,s4,24,-351.74,-204.83,8189.619268,c3,g,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,49,-169.55,-132.53,8193.750076,c3,r,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,22,-161.91,-114.32,8193.750076,c3,g,v,g,r,no,no,no,no,no,fa,no,,,,no
S107,E10.5,1,S107_a2,s4,23,-295.16,-234.19,8193.750076,c3,g,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,51,-276.79,-236.42,8193.750076,c3,r,v,w,r,no,no,no,no,no,og,no,,,,no
S107,E10.5,1,S107_a2,s4,26,33.816,467.072,8193.750076,c3,g,d,g,l,no,yes,no,no,no,no,no,,,,no
S107,E10.5,1,S107_a2,s4,17,-408.99,-181.16,8193.750076,c3,r,v,w,r,no,no,no,no,no,gl,no,,,,glial endfoot?
S107,E10.5,1,S107_a2,s4,18,-345.92,-231.04,8197.880884,c3,r,v,w,r,no,no,no,no,no,og,no,,,,glial endfoot?
S107,E10.5,1,S107_a2,s4,46,-240.76,-42.05,8202.011692,c3,r,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,45,-103.37,-80.59,8206.132425,c3,r,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,47,-286,-87.29,8206.132425,c3,r,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,44,-129.34,-87.29,8210.263233,c3,r,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,25,-63.9,397.783,8218.524849,c3,g,d,w,na,no,yes,no,d,no,no,no,,,,no
S107,E10.5,1,S107_a2,s4,43,-124.09,-138.15,8218.524849,c3,r,v,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,16,-226.03,-280.67,8226.786466,c3,r,v,w,r,no,no,no,no,no,gl,no,,,,no
S107,E10.5,1,S107_a2,s4,15,-199.78,-268.33,8230.907199,c3,r,v,w,r,no,no,no,no,no,gl,no,,,,no
S107,E10.5,1,S107_a2,s4,13,-240.55,102.02,8259.81278,c3,g,d,g,r,no,no,no,no,no,no,yes,,,,no
S107,E10.5,1,S107_a2,s4,12,-197.57,166.009,8280.456746,c3,g,d,g,r,no,yes,no,no,no,no,no,,,,no
